COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
GEPIL,2021-07-01,356.0,357.8,346.15,347.6,348.4
GEPIL,2021-07-02,350.15,355.1,348.1,351.95,351.6
GEPIL,2021-07-05,354.0,363.7,354.0,356.0,356.95
GEPIL,2021-07-06,358.75,359.85,340.1,342.6,342.6
GEPIL,2021-07-07,343.0,352.4,340.05,350.1,349.75
GEPIL,2021-07-08,350.9,351.0,338.5,344.0,342.25
GEPIL,2021-07-09,342.25,345.3,338.25,339.2,339.7
GEPIL,2021-07-12,345.0,345.0,339.75,341.1,341.5
GEPIL,2021-07-13,344.6,347.0,339.0,340.0,340.9
GEPIL,2021-07-14,341.9,343.1,335.0,335.95,336.05
GEPIL,2021-07-15,335.2,340.8,331.6,333.0,333.05
GEPIL,2021-07-16,334.75,343.7,331.3,336.0,336.8
GEPIL,2021-07-19,336.9,339.95,330.0,331.65,331.65
GEPIL,2021-07-20,333.0,333.65,318.4,324.6,324.35
GEPIL,2021-07-20,333.0,333.65,318.4,324.6,324.35
GEPIL,2021-07-22,329.2,332.75,325.3,328.0,327.75
GEPIL,2021-07-23,329.0,329.4,323.1,325.0,325.6
GEPIL,2021-07-26,326.0,339.0,323.7,334.7,334.3
GEPIL,2021-07-27,341.0,348.0,336.55,337.65,338.75
GEPIL,2021-07-28,341.2,342.85,330.1,332.5,331.6
