COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
GESHIP,2021-07-01,389.0,392.5,386.25,388.0,388.25
GESHIP,2021-07-02,391.8,391.8,382.5,384.2,383.9
GESHIP,2021-07-05,386.9,388.9,373.6,377.65,377.5
GESHIP,2021-07-06,378.0,384.0,376.6,380.7,379.3
GESHIP,2021-07-07,381.85,382.35,377.0,378.0,377.75
GESHIP,2021-07-08,379.95,381.4,369.2,371.15,371.6
GESHIP,2021-07-09,374.5,374.5,368.55,369.35,369.45
GESHIP,2021-07-12,374.4,378.0,370.5,372.25,371.7
GESHIP,2021-07-13,376.9,376.9,368.6,369.35,369.3
GESHIP,2021-07-14,369.3,387.9,368.8,385.2,379.1
GESHIP,2021-07-15,391.0,391.0,383.0,384.5,384.85
GESHIP,2021-07-16,388.0,388.25,379.05,380.7,380.4
GESHIP,2021-07-19,381.0,385.0,378.05,382.0,382.2
GESHIP,2021-07-20,376.05,387.5,359.75,365.0,364.2
GESHIP,2021-07-20,376.05,387.5,359.75,365.0,364.2
GESHIP,2021-07-22,367.0,370.55,362.6,364.45,363.65
GESHIP,2021-07-23,364.9,365.95,361.0,363.5,362.0
GESHIP,2021-07-26,353.2,371.05,353.2,370.5,370.15
GESHIP,2021-07-27,372.45,379.75,367.7,369.0,369.25
GESHIP,2021-07-28,369.5,370.4,358.3,360.0,359.65
