COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
GIPCL,2021-07-01,84.0,84.3,82.6,82.6,82.7
GIPCL,2021-07-02,83.1,84.0,82.7,83.25,83.25
GIPCL,2021-07-05,84.0,86.8,83.65,85.9,85.8
GIPCL,2021-07-06,86.0,86.75,83.9,84.5,84.55
GIPCL,2021-07-07,84.45,85.7,84.0,85.05,85.05
GIPCL,2021-07-08,85.75,87.45,84.65,85.7,85.55
GIPCL,2021-07-09,86.85,87.2,85.5,85.65,85.7
GIPCL,2021-07-12,86.0,88.05,85.8,87.1,86.7
GIPCL,2021-07-13,87.05,89.2,86.85,87.85,87.85
GIPCL,2021-07-14,87.9,89.5,87.0,88.0,87.55
GIPCL,2021-07-15,88.05,88.45,86.1,87.0,86.65
GIPCL,2021-07-16,87.0,92.25,86.5,91.2,91.05
GIPCL,2021-07-19,92.25,97.9,92.1,95.05,95.05
GIPCL,2021-07-20,95.8,96.8,90.85,92.4,92.3
GIPCL,2021-07-20,95.8,96.8,90.85,92.4,92.3
GIPCL,2021-07-22,93.35,98.8,93.35,96.95,97.2
GIPCL,2021-07-23,98.0,99.45,96.1,99.4,98.45
GIPCL,2021-07-26,105.0,105.7,101.15,101.8,101.9
GIPCL,2021-07-27,102.5,103.8,98.3,99.25,99.4
GIPCL,2021-07-28,99.5,100.7,96.7,98.95,98.5
