COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
GLOBAL,2021-07-01,51.15,51.15,49.45,50.0,49.75
GLOBAL,2021-07-02,49.55,50.25,49.3,50.0,49.75
GLOBAL,2021-07-05,51.45,51.45,48.85,48.85,49.15
GLOBAL,2021-07-06,50.15,51.0,49.05,51.0,50.4
GLOBAL,2021-07-07,51.25,51.45,49.0,49.65,49.7
GLOBAL,2021-07-08,49.65,50.15,48.65,49.65,49.05
GLOBAL,2021-07-09,49.9,49.9,47.5,48.2,48.45
GLOBAL,2021-07-12,47.5,49.7,46.6,46.8,47.35
GLOBAL,2021-07-13,48.95,49.0,47.75,48.6,48.65
GLOBAL,2021-07-14,49.7,50.0,48.85,50.0,49.85
GLOBAL,2021-07-15,51.0,51.0,49.1,50.0,49.7
GLOBAL,2021-07-16,49.5,50.0,48.7,49.1,49.1
GLOBAL,2021-07-19,51.0,51.0,48.8,49.75,49.3
GLOBAL,2021-07-20,50.3,50.3,46.85,47.95,47.4
GLOBAL,2021-07-20,50.3,50.3,46.85,47.95,47.4
GLOBAL,2021-07-22,49.0,49.75,47.85,49.75,49.6
GLOBAL,2021-07-23,51.0,51.0,48.05,48.15,48.2
GLOBAL,2021-07-26,49.2,49.2,47.45,47.65,47.75
GLOBAL,2021-07-27,49.8,49.8,47.55,48.0,48.85
GLOBAL,2021-07-28,49.6,49.6,47.5,47.8,47.8
