COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
GMDCLTD,2021-07-01,68.3,69.25,68.1,68.65,68.55
GMDCLTD,2021-07-02,69.1,69.45,68.3,68.75,68.7
GMDCLTD,2021-07-05,69.0,69.8,68.5,68.65,68.75
GMDCLTD,2021-07-06,68.95,69.35,67.75,67.85,68.0
GMDCLTD,2021-07-07,68.0,71.2,67.2,70.3,70.55
GMDCLTD,2021-07-08,70.8,70.8,68.8,69.1,69.1
GMDCLTD,2021-07-09,69.0,70.6,68.4,69.4,69.5
GMDCLTD,2021-07-12,70.5,70.9,68.6,68.9,68.8
GMDCLTD,2021-07-13,69.5,69.8,68.75,69.45,69.1
GMDCLTD,2021-07-14,69.6,69.85,68.5,68.6,68.7
GMDCLTD,2021-07-15,68.7,68.9,67.8,67.85,67.95
GMDCLTD,2021-07-16,67.6,69.4,67.6,68.5,68.25
GMDCLTD,2021-07-19,67.1,69.2,67.1,68.1,68.0
GMDCLTD,2021-07-20,68.0,68.35,65.3,65.85,65.95
GMDCLTD,2021-07-20,68.0,68.35,65.3,65.85,65.95
GMDCLTD,2021-07-22,67.35,67.6,66.5,66.7,66.7
GMDCLTD,2021-07-23,67.35,67.45,65.6,65.85,65.8
GMDCLTD,2021-07-26,66.15,66.95,65.65,65.8,65.85
GMDCLTD,2021-07-27,66.0,67.95,65.05,65.3,65.25
GMDCLTD,2021-07-28,65.35,65.85,64.0,64.75,64.7
