COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
GODREJAGRO,2021-07-01,634.15,639.0,615.45,625.3,627.2
GODREJAGRO,2021-07-02,627.0,644.7,622.0,635.15,636.75
GODREJAGRO,2021-07-05,642.8,667.85,631.3,652.95,655.1
GODREJAGRO,2021-07-06,656.45,674.35,645.7,655.0,655.0
GODREJAGRO,2021-07-07,654.7,665.95,648.95,662.0,660.35
GODREJAGRO,2021-07-08,662.0,674.4,645.5,654.0,652.1
GODREJAGRO,2021-07-09,658.9,662.0,645.0,649.0,654.05
GODREJAGRO,2021-07-12,656.9,662.0,645.95,660.0,656.3
GODREJAGRO,2021-07-13,658.4,672.0,651.0,654.0,656.35
GODREJAGRO,2021-07-14,656.75,665.75,652.25,660.05,660.5
GODREJAGRO,2021-07-15,665.8,665.8,654.55,660.0,660.95
GODREJAGRO,2021-07-16,661.0,663.9,651.0,656.0,657.55
GODREJAGRO,2021-07-19,653.0,659.0,642.95,655.0,654.65
GODREJAGRO,2021-07-20,652.8,652.8,628.05,646.45,645.4
GODREJAGRO,2021-07-20,652.8,652.8,628.05,646.45,645.4
GODREJAGRO,2021-07-22,649.0,656.3,640.3,647.0,651.3
GODREJAGRO,2021-07-23,651.0,654.8,643.1,650.0,649.5
GODREJAGRO,2021-07-26,649.65,660.0,644.0,654.0,654.85
GODREJAGRO,2021-07-27,658.0,662.4,644.5,658.9,659.55
GODREJAGRO,2021-07-28,659.55,663.1,649.6,660.5,660.55
