COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
GPTINFRA,2021-07-01,87.0,94.8,86.15,87.7,87.1
GPTINFRA,2021-07-02,87.7,88.1,84.5,85.0,85.05
GPTINFRA,2021-07-05,85.95,86.0,82.5,83.15,83.3
GPTINFRA,2021-07-06,85.75,85.75,82.5,84.1,84.2
GPTINFRA,2021-07-07,86.0,86.85,83.0,83.5,83.3
GPTINFRA,2021-07-08,85.9,85.9,82.5,83.0,83.35
GPTINFRA,2021-07-09,82.2,84.0,81.65,81.9,82.05
GPTINFRA,2021-07-12,84.0,85.0,81.5,83.9,82.2
GPTINFRA,2021-07-13,83.6,87.4,80.35,83.9,84.75
GPTINFRA,2021-07-14,84.75,85.0,83.5,83.5,83.7
GPTINFRA,2021-07-15,85.0,94.9,83.7,94.7,93.7
GPTINFRA,2021-07-16,95.25,107.85,93.5,102.2,101.5
GPTINFRA,2021-07-19,101.5,104.35,96.65,98.1,98.25
GPTINFRA,2021-07-20,98.25,103.0,93.15,96.65,97.05
GPTINFRA,2021-07-20,98.25,103.0,93.15,96.65,97.05
GPTINFRA,2021-07-22,98.55,101.4,96.4,97.6,97.5
GPTINFRA,2021-07-23,96.5,98.0,94.0,94.15,94.25
GPTINFRA,2021-07-26,94.5,96.8,86.5,90.05,90.0
GPTINFRA,2021-07-27,93.0,103.65,92.0,98.65,98.3
GPTINFRA,2021-07-28,98.9,103.0,96.0,99.5,98.2
