COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
GREAVESCOT,2021-07-01,161.75,162.25,158.1,158.9,158.7
GREAVESCOT,2021-07-02,160.0,173.9,156.75,172.25,171.6
GREAVESCOT,2021-07-05,173.5,177.35,171.6,173.95,173.85
GREAVESCOT,2021-07-06,174.5,176.2,164.2,167.9,167.35
GREAVESCOT,2021-07-07,168.85,168.85,162.1,164.7,164.3
GREAVESCOT,2021-07-08,164.65,173.9,163.7,166.65,166.85
GREAVESCOT,2021-07-09,166.9,172.4,164.9,168.1,167.95
GREAVESCOT,2021-07-12,168.5,172.05,166.45,168.0,168.1
GREAVESCOT,2021-07-13,168.95,176.3,166.45,174.05,174.8
GREAVESCOT,2021-07-14,176.6,182.0,175.35,175.75,176.65
GREAVESCOT,2021-07-15,176.8,177.5,171.2,172.3,172.05
GREAVESCOT,2021-07-16,172.9,173.65,168.6,169.5,169.5
GREAVESCOT,2021-07-19,167.0,168.95,165.6,166.8,166.55
GREAVESCOT,2021-07-20,166.0,168.0,157.35,161.8,161.35
GREAVESCOT,2021-07-20,166.0,168.0,157.35,161.8,161.35
GREAVESCOT,2021-07-22,163.95,168.0,163.2,165.5,164.5
GREAVESCOT,2021-07-23,165.5,170.55,161.55,169.0,168.95
GREAVESCOT,2021-07-26,168.0,172.9,166.3,166.95,167.2
GREAVESCOT,2021-07-27,167.9,168.75,161.8,164.0,163.45
GREAVESCOT,2021-07-28,164.6,164.6,159.1,162.0,162.4
