COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
GREENPLY,2021-07-01,209.4,211.9,204.3,205.2,205.45
GREENPLY,2021-07-02,206.0,208.0,197.1,199.5,199.5
GREENPLY,2021-07-05,200.0,204.45,199.05,200.0,199.95
GREENPLY,2021-07-06,202.25,203.0,198.05,199.6,198.85
GREENPLY,2021-07-07,198.25,200.0,197.0,199.0,198.0
GREENPLY,2021-07-08,199.6,200.4,196.05,197.0,196.85
GREENPLY,2021-07-09,199.9,199.9,195.6,197.0,196.5
GREENPLY,2021-07-12,201.0,201.0,195.75,197.2,197.55
GREENPLY,2021-07-13,199.95,203.0,197.25,199.0,199.95
GREENPLY,2021-07-14,200.75,203.5,197.9,200.8,201.6
GREENPLY,2021-07-15,202.95,202.95,199.05,200.0,199.7
GREENPLY,2021-07-16,201.9,201.9,197.9,199.0,199.25
GREENPLY,2021-07-19,197.5,205.25,196.45,199.3,199.35
GREENPLY,2021-07-20,200.0,201.05,195.0,195.9,195.95
GREENPLY,2021-07-20,200.0,201.05,195.0,195.9,195.95
GREENPLY,2021-07-22,196.35,200.0,193.75,195.0,194.45
GREENPLY,2021-07-23,194.8,196.25,194.0,194.25,194.25
GREENPLY,2021-07-26,195.2,196.6,191.7,193.0,192.5
GREENPLY,2021-07-27,192.6,194.65,189.0,189.8,189.8
GREENPLY,2021-07-28,191.9,191.9,185.4,189.5,188.45
