COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
GRINDWELL,2021-07-01,1241.5,1274.9,1235.6,1249.0,1247.8
GRINDWELL,2021-07-02,1259.15,1269.0,1216.0,1253.0,1256.55
GRINDWELL,2021-07-05,1258.0,1275.0,1236.8,1269.9,1265.45
GRINDWELL,2021-07-06,1270.0,1323.0,1260.3,1311.9,1302.55
GRINDWELL,2021-07-07,1310.75,1390.0,1292.75,1325.0,1316.75
GRINDWELL,2021-07-08,1321.0,1334.55,1288.85,1312.0,1313.55
GRINDWELL,2021-07-09,1314.0,1321.8,1291.0,1305.5,1305.75
GRINDWELL,2021-07-12,1307.0,1334.75,1295.0,1320.0,1305.3
GRINDWELL,2021-07-13,1320.0,1328.0,1262.35,1286.0,1291.25
GRINDWELL,2021-07-14,1286.0,1358.0,1285.0,1339.2,1349.05
GRINDWELL,2021-07-15,1357.75,1364.85,1311.55,1316.25,1320.9
GRINDWELL,2021-07-16,1320.05,1339.85,1301.75,1307.6,1305.0
GRINDWELL,2021-07-19,1305.0,1326.0,1260.0,1276.95,1272.8
GRINDWELL,2021-07-20,1279.2,1287.95,1217.65,1236.2,1234.15
GRINDWELL,2021-07-20,1279.2,1287.95,1217.65,1236.2,1234.15
GRINDWELL,2021-07-22,1244.0,1284.0,1233.0,1246.5,1243.5
GRINDWELL,2021-07-23,1244.0,1277.95,1221.0,1268.0,1267.95
GRINDWELL,2021-07-26,1258.0,1294.95,1235.6,1280.0,1285.9
GRINDWELL,2021-07-27,1295.0,1299.0,1228.0,1240.0,1242.45
GRINDWELL,2021-07-28,1250.25,1325.0,1238.3,1296.0,1286.6
