COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
GTL,2021-07-01,27.4,27.4,27.4,27.4,27.4
GTL,2021-07-02,28.75,28.75,28.75,28.75,28.75
GTL,2021-07-05,30.15,30.15,30.15,30.15,30.15
GTL,2021-07-06,31.65,31.65,28.65,28.65,29.5
GTL,2021-07-07,28.05,28.5,28.05,28.05,28.05
GTL,2021-07-08,26.65,26.65,26.65,26.65,26.65
GTL,2021-07-09,25.35,27.7,25.35,25.35,25.35
GTL,2021-07-12,24.45,26.3,24.1,24.55,24.5
GTL,2021-07-13,24.4,25.7,23.3,23.3,23.3
GTL,2021-07-14,22.4,24.45,22.15,24.4,24.1
GTL,2021-07-15,25.1,25.1,22.9,22.9,23.0
GTL,2021-07-16,22.6,23.4,21.85,21.9,21.85
GTL,2021-07-19,21.5,21.85,20.8,20.85,20.85
