COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
GULFOILLUB,2021-07-01,690.05,690.05,686.5,689.35,688.9
GULFOILLUB,2021-07-02,689.9,696.15,688.45,691.05,692.35
GULFOILLUB,2021-07-05,696.1,699.95,689.05,694.5,691.85
GULFOILLUB,2021-07-06,695.0,697.8,688.0,689.7,689.3
GULFOILLUB,2021-07-07,692.75,693.9,686.0,687.0,686.95
GULFOILLUB,2021-07-08,694.5,694.5,681.4,684.65,683.9
GULFOILLUB,2021-07-09,687.0,688.8,680.45,686.0,685.35
GULFOILLUB,2021-07-12,687.0,692.0,683.0,685.0,685.9
GULFOILLUB,2021-07-13,685.2,689.35,675.0,680.2,680.45
GULFOILLUB,2021-07-14,679.95,680.0,668.0,671.0,669.9
GULFOILLUB,2021-07-15,672.0,681.65,668.0,671.4,669.0
GULFOILLUB,2021-07-16,678.0,678.0,665.0,668.95,668.2
GULFOILLUB,2021-07-19,669.9,672.55,664.65,666.85,665.55
GULFOILLUB,2021-07-20,664.0,668.85,651.4,658.85,658.65
GULFOILLUB,2021-07-20,664.0,668.85,651.4,658.85,658.65
GULFOILLUB,2021-07-22,668.9,668.9,651.55,654.5,654.3
GULFOILLUB,2021-07-23,668.0,668.0,647.0,650.0,649.0
GULFOILLUB,2021-07-26,655.9,655.9,647.5,649.0,648.65
GULFOILLUB,2021-07-27,659.0,659.0,644.0,647.85,647.9
GULFOILLUB,2021-07-28,648.0,651.0,635.4,637.5,637.4
