COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
HBANKETF,2021-07-01,346.65,350.25,346.04,348.3,347.54
HBANKETF,2021-07-02,347.54,348.69,346.1,347.25,347.93
HBANKETF,2021-07-05,355.0,355.0,346.06,350.95,351.08
HBANKETF,2021-07-06,353.35,357.0,352.0,352.12,355.5
HBANKETF,2021-07-07,354.68,357.0,352.39,356.85,356.82
HBANKETF,2021-07-08,357.0,357.49,350.68,351.24,352.28
HBANKETF,2021-07-09,351.27,351.94,348.48,351.0,349.99
HBANKETF,2021-07-12,353.4,354.32,349.01,352.29,350.16
HBANKETF,2021-07-13,350.0,355.6,350.0,355.6,355.17
HBANKETF,2021-07-14,358.7,358.7,353.04,354.71,355.38
HBANKETF,2021-07-15,352.0,358.0,352.0,357.25,357.43
HBANKETF,2021-07-16,357.43,358.67,355.41,357.0,355.99
HBANKETF,2021-07-19,354.0,359.88,349.36,351.72,350.93
HBANKETF,2021-07-20,348.32,348.32,343.2,344.17,343.36
HBANKETF,2021-07-20,348.32,348.32,343.2,344.17,343.36
HBANKETF,2021-07-22,344.77,349.1,344.03,345.5,345.22
HBANKETF,2021-07-23,346.15,349.21,343.0,348.95,348.59
HBANKETF,2021-07-26,347.9,350.66,346.89,347.64,347.25
HBANKETF,2021-07-27,352.7,352.7,345.42,347.0,346.1
HBANKETF,2021-07-28,353.28,353.28,340.2,344.5,344.19
