COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
HBLPOWER,2021-07-01,49.3,51.9,47.8,50.2,50.4
HBLPOWER,2021-07-02,50.6,50.8,48.55,48.9,48.75
HBLPOWER,2021-07-05,49.15,50.7,48.6,49.4,49.45
HBLPOWER,2021-07-06,49.4,57.2,49.05,54.2,53.8
HBLPOWER,2021-07-07,54.5,56.0,53.8,54.3,54.5
HBLPOWER,2021-07-08,54.0,56.75,53.8,54.6,54.65
HBLPOWER,2021-07-09,54.75,56.0,53.3,54.15,54.2
HBLPOWER,2021-07-12,54.75,55.7,54.05,54.3,54.45
HBLPOWER,2021-07-13,54.85,55.75,53.7,53.8,53.85
HBLPOWER,2021-07-14,53.85,55.4,53.75,54.05,54.05
HBLPOWER,2021-07-15,54.0,54.5,49.7,50.9,50.4
HBLPOWER,2021-07-16,51.0,54.9,51.0,53.85,54.05
HBLPOWER,2021-07-19,53.5,55.45,52.8,54.0,53.55
HBLPOWER,2021-07-20,53.6,54.25,51.4,53.0,52.75
HBLPOWER,2021-07-20,53.6,54.25,51.4,53.0,52.75
HBLPOWER,2021-07-22,53.2,56.85,53.0,56.45,55.65
HBLPOWER,2021-07-23,57.45,58.0,53.8,54.2,54.3
HBLPOWER,2021-07-26,54.0,54.9,52.0,52.95,52.9
HBLPOWER,2021-07-27,53.0,53.9,51.15,51.65,51.65
HBLPOWER,2021-07-28,51.7,52.45,50.7,51.55,51.65
