COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
HBSL,2021-07-01,23.9,23.95,22.5,22.5,22.85
HBSL,2021-07-02,23.7,23.9,22.9,23.0,23.15
HBSL,2021-07-05,23.15,23.9,22.45,23.1,23.35
HBSL,2021-07-06,24.0,24.0,23.0,23.35,23.5
HBSL,2021-07-07,23.0,24.3,22.75,23.0,22.9
HBSL,2021-07-08,23.45,23.65,22.95,23.65,23.5
HBSL,2021-07-09,24.2,24.65,23.5,24.65,24.65
HBSL,2021-07-12,25.85,25.85,25.3,25.85,25.85
HBSL,2021-07-13,27.1,27.1,27.1,27.1,27.1
HBSL,2021-07-14,28.4,28.45,27.7,28.45,28.45
HBSL,2021-07-15,29.85,29.85,29.85,29.85,29.85
HBSL,2021-07-16,31.3,31.3,31.3,31.3,31.3
HBSL,2021-07-19,32.85,32.85,29.75,29.75,29.75
HBSL,2021-07-20,29.0,29.75,28.3,28.3,28.3
HBSL,2021-07-20,29.0,29.75,28.3,28.3,28.3
HBSL,2021-07-22,28.3,29.7,28.3,29.7,29.3
HBSL,2021-07-23,29.7,29.7,27.85,27.85,27.85
HBSL,2021-07-26,27.85,28.0,26.5,26.5,26.5
HBSL,2021-07-27,25.2,26.75,25.2,26.0,25.8
HBSL,2021-07-28,25.0,26.4,24.6,25.5,25.3
