COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
HCL-INSYS,2021-07-01,17.65,17.85,16.5,16.65,16.55
HCL-INSYS,2021-07-02,16.55,17.15,16.55,16.65,16.7
HCL-INSYS,2021-07-05,17.15,17.5,16.75,17.5,17.5
HCL-INSYS,2021-07-06,17.95,18.35,16.65,16.95,17.35
HCL-INSYS,2021-07-07,17.3,17.4,16.7,17.0,16.95
HCL-INSYS,2021-07-08,17.25,17.3,16.25,16.9,16.8
HCL-INSYS,2021-07-09,17.05,17.2,16.6,16.85,16.95
HCL-INSYS,2021-07-12,17.1,17.15,16.4,16.8,16.7
HCL-INSYS,2021-07-13,17.1,17.1,16.55,16.65,16.65
HCL-INSYS,2021-07-14,16.65,17.45,16.4,16.65,16.7
HCL-INSYS,2021-07-15,17.0,17.0,16.55,16.65,16.65
HCL-INSYS,2021-07-16,16.95,17.35,16.4,16.85,16.8
HCL-INSYS,2021-07-19,16.9,16.9,16.4,16.45,16.45
HCL-INSYS,2021-07-20,16.45,16.5,15.65,15.7,15.7
HCL-INSYS,2021-07-20,16.45,16.5,15.65,15.7,15.7
HCL-INSYS,2021-07-22,15.55,16.25,15.55,15.85,15.9
HCL-INSYS,2021-07-23,16.15,16.15,15.3,15.35,15.35
HCL-INSYS,2021-07-26,15.4,15.45,14.75,14.95,14.85
HCL-INSYS,2021-07-27,14.85,15.55,14.85,15.55,15.55
HCL-INSYS,2021-07-28,16.2,16.2,15.35,15.85,15.7
