COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
HCLTECH,2021-07-01,987.0,988.0,975.15,985.0,985.5
HCLTECH,2021-07-02,983.55,987.6,977.25,985.7,984.65
HCLTECH,2021-07-05,991.7,995.9,978.0,979.5,979.75
HCLTECH,2021-07-06,980.0,982.2,970.2,974.0,972.05
HCLTECH,2021-07-07,970.0,977.6,960.3,975.0,975.35
HCLTECH,2021-07-08,975.0,982.0,970.0,976.4,976.8
HCLTECH,2021-07-09,972.0,979.5,966.6,977.95,976.85
HCLTECH,2021-07-12,980.0,983.05,975.0,978.5,979.45
HCLTECH,2021-07-13,983.0,983.0,964.0,970.0,967.95
HCLTECH,2021-07-14,968.25,992.95,968.1,987.9,989.45
HCLTECH,2021-07-15,993.0,1052.5,990.8,1039.05,1039.75
HCLTECH,2021-07-16,1044.9,1048.75,998.05,1006.0,1005.0
HCLTECH,2021-07-19,1005.0,1018.3,992.5,1001.9,1000.2
HCLTECH,2021-07-20,999.0,1012.2,969.35,977.0,977.2
HCLTECH,2021-07-20,999.0,1012.2,969.35,977.0,977.2
HCLTECH,2021-07-22,970.0,981.5,970.0,979.0,978.6
HCLTECH,2021-07-23,984.7,1003.9,982.6,994.0,994.0
HCLTECH,2021-07-26,994.0,1004.0,987.25,1000.7,1000.3
HCLTECH,2021-07-27,1000.0,1002.2,983.85,993.65,992.0
HCLTECH,2021-07-28,995.0,995.95,977.3,984.85,983.1
