COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
HDFCBANK,2021-07-01,1502.0,1502.0,1483.0,1487.95,1486.75
HDFCBANK,2021-07-02,1485.0,1489.25,1477.0,1482.5,1480.4
HDFCBANK,2021-07-05,1489.95,1504.5,1484.55,1496.6,1495.45
HDFCBANK,2021-07-06,1497.0,1540.0,1496.0,1531.95,1534.7
HDFCBANK,2021-07-07,1534.0,1545.35,1527.7,1539.8,1539.5
HDFCBANK,2021-07-08,1525.0,1537.7,1513.45,1521.0,1520.45
HDFCBANK,2021-07-09,1512.55,1516.0,1497.5,1504.4,1502.0
HDFCBANK,2021-07-12,1502.0,1502.0,1484.0,1487.3,1487.0
HDFCBANK,2021-07-13,1496.1,1506.1,1484.1,1500.4,1501.85
HDFCBANK,2021-07-14,1497.5,1507.35,1491.1,1498.0,1499.15
HDFCBANK,2021-07-15,1505.0,1526.75,1499.65,1521.0,1520.7
HDFCBANK,2021-07-16,1527.95,1529.95,1518.8,1522.3,1522.35
HDFCBANK,2021-07-19,1487.0,1488.85,1466.0,1472.4,1471.0
HDFCBANK,2021-07-20,1442.0,1454.0,1436.15,1444.0,1443.15
HDFCBANK,2021-07-20,1442.0,1454.0,1436.15,1444.0,1443.15
HDFCBANK,2021-07-22,1456.1,1468.5,1445.0,1451.7,1448.7
HDFCBANK,2021-07-23,1451.5,1457.45,1435.3,1443.0,1442.75
HDFCBANK,2021-07-26,1430.0,1444.0,1428.1,1434.5,1434.55
HDFCBANK,2021-07-27,1436.1,1449.9,1436.1,1441.5,1439.75
HDFCBANK,2021-07-28,1435.05,1438.7,1404.0,1419.5,1417.3
