COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
HDFCLIFE,2021-07-01,689.5,692.6,682.8,688.4,685.75
HDFCLIFE,2021-07-02,689.35,690.05,678.85,688.0,687.5
HDFCLIFE,2021-07-05,690.0,691.0,676.75,677.9,677.9
HDFCLIFE,2021-07-06,678.6,687.0,675.0,680.0,680.05
HDFCLIFE,2021-07-07,680.0,685.8,678.0,684.4,685.2
HDFCLIFE,2021-07-08,685.3,689.3,678.4,681.9,681.3
HDFCLIFE,2021-07-09,680.0,683.95,677.0,682.7,683.25
HDFCLIFE,2021-07-12,684.5,686.65,680.1,683.85,682.95
HDFCLIFE,2021-07-13,686.5,694.55,683.55,693.75,693.4
HDFCLIFE,2021-07-14,696.0,697.05,688.0,688.95,688.5
HDFCLIFE,2021-07-15,690.0,699.5,688.1,693.15,693.65
HDFCLIFE,2021-07-16,695.95,702.0,692.15,698.3,698.0
HDFCLIFE,2021-07-19,696.5,696.5,677.0,678.85,678.7
HDFCLIFE,2021-07-20,678.7,681.5,661.95,663.1,663.45
HDFCLIFE,2021-07-20,678.7,681.5,661.95,663.1,663.45
HDFCLIFE,2021-07-22,664.0,669.4,661.1,663.0,662.1
HDFCLIFE,2021-07-23,662.1,667.95,661.8,665.5,665.35
HDFCLIFE,2021-07-26,665.0,665.4,660.35,664.0,663.1
HDFCLIFE,2021-07-27,666.0,674.8,662.9,669.75,668.75
HDFCLIFE,2021-07-28,674.45,674.45,661.15,665.0,664.85
