COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
HDFCMFGETF,2021-07-01,42.09,42.19,41.85,41.95,42.02
HDFCMFGETF,2021-07-02,42.45,42.45,42.02,42.25,42.21
HDFCMFGETF,2021-07-05,42.21,42.39,42.06,42.28,42.25
HDFCMFGETF,2021-07-06,42.25,42.74,42.25,42.69,42.65
HDFCMFGETF,2021-07-07,42.59,42.8,42.59,42.76,42.74
HDFCMFGETF,2021-07-08,42.79,42.98,42.54,42.8,42.78
HDFCMFGETF,2021-07-09,42.75,42.75,42.51,42.66,42.72
HDFCMFGETF,2021-07-12,42.72,42.72,42.45,42.51,42.53
HDFCMFGETF,2021-07-13,42.55,42.95,42.54,42.54,42.56
HDFCMFGETF,2021-07-14,42.86,42.86,42.64,42.68,42.7
HDFCMFGETF,2021-07-15,43.29,43.29,42.81,43.0,43.03
HDFCMFGETF,2021-07-16,43.12,43.12,42.86,42.9,42.9
HDFCMFGETF,2021-07-19,42.9,42.9,42.61,42.75,42.69
HDFCMFGETF,2021-07-20,42.72,43.0,42.72,42.75,42.77
HDFCMFGETF,2021-07-20,42.72,43.0,42.72,42.75,42.77
HDFCMFGETF,2021-07-22,42.72,42.72,42.16,42.4,42.36
HDFCMFGETF,2021-07-23,42.41,42.65,42.36,42.49,42.43
HDFCMFGETF,2021-07-26,42.43,42.85,42.35,42.44,42.47
HDFCMFGETF,2021-07-27,41.65,42.45,41.38,42.4,42.37
HDFCMFGETF,2021-07-28,42.37,42.6,42.37,42.42,42.38
