COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
HDFCSENETF,2021-07-01,566.99,566.99,561.22,563.0,562.96
HDFCSENETF,2021-07-02,567.99,567.99,551.7,560.0,562.36
HDFCSENETF,2021-07-05,567.99,572.45,558.1,569.0,568.53
HDFCSENETF,2021-07-06,570.0,571.85,565.0,569.99,569.19
HDFCSENETF,2021-07-07,569.19,572.5,567.05,570.2,571.42
HDFCSENETF,2021-07-08,572.99,572.99,564.97,567.75,567.73
HDFCSENETF,2021-07-09,564.05,567.99,561.3,562.95,563.75
HDFCSENETF,2021-07-12,569.99,569.99,557.01,558.08,558.85
HDFCSENETF,2021-07-13,566.99,566.99,558.4,564.7,563.6
HDFCSENETF,2021-07-14,563.0,566.99,558.15,563.26,564.7
HDFCSENETF,2021-07-15,569.9,569.9,562.95,565.0,565.32
HDFCSENETF,2021-07-16,567.0,569.35,564.2,569.35,567.8
HDFCSENETF,2021-07-19,566.99,569.9,563.01,566.4,565.87
HDFCSENETF,2021-07-20,567.99,569.8,559.95,563.0,562.97
HDFCSENETF,2021-07-20,567.99,569.8,559.95,563.0,562.97
HDFCSENETF,2021-07-22,565.99,567.9,561.0,567.5,566.88
HDFCSENETF,2021-07-23,562.1,570.0,562.1,570.0,569.25
HDFCSENETF,2021-07-26,570.7,572.95,565.25,572.95,571.92
HDFCSENETF,2021-07-27,568.95,572.69,563.21,565.92,568.87
HDFCSENETF,2021-07-28,569.99,571.99,562.3,566.0,565.99
