COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
HEG,2021-07-01,2201.2,2245.0,2195.0,2220.0,2214.8
HEG,2021-07-02,2225.9,2229.95,2186.1,2195.0,2194.7
HEG,2021-07-05,2206.45,2218.0,2175.05,2189.9,2185.85
HEG,2021-07-06,2196.0,2205.8,2150.0,2151.0,2153.4
HEG,2021-07-07,2155.0,2265.0,2155.0,2210.0,2210.45
HEG,2021-07-08,2217.0,2275.0,2210.6,2226.1,2226.9
HEG,2021-07-09,2200.0,2242.0,2200.0,2225.0,2229.85
HEG,2021-07-12,2247.7,2280.0,2225.0,2256.0,2260.1
HEG,2021-07-13,2273.0,2278.2,2225.0,2233.0,2236.95
HEG,2021-07-14,2233.0,2248.0,2220.0,2230.5,2225.25
HEG,2021-07-15,2230.0,2325.0,2227.65,2253.9,2261.25
HEG,2021-07-16,2269.0,2269.0,2205.1,2226.0,2224.0
HEG,2021-07-19,2205.0,2236.8,2181.0,2216.0,2217.1
HEG,2021-07-20,2198.0,2231.4,2186.5,2195.0,2195.6
HEG,2021-07-20,2198.0,2231.4,2186.5,2195.0,2195.6
HEG,2021-07-22,2201.0,2266.8,2179.3,2189.9,2205.35
HEG,2021-07-23,2214.0,2259.0,2201.15,2228.0,2226.6
HEG,2021-07-26,2239.0,2261.0,2223.0,2228.0,2228.25
HEG,2021-07-27,2230.25,2320.0,2228.25,2300.0,2297.05
HEG,2021-07-28,2315.0,2327.8,2217.0,2237.4,2239.7
