COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
HEIDELBERG,2021-07-01,253.2,253.8,249.75,250.0,250.05
HEIDELBERG,2021-07-02,249.5,252.05,248.3,248.9,248.6
HEIDELBERG,2021-07-05,252.95,253.65,251.15,252.9,252.35
HEIDELBERG,2021-07-06,254.3,265.45,253.0,259.4,259.35
HEIDELBERG,2021-07-07,261.7,264.7,257.0,258.8,259.0
HEIDELBERG,2021-07-08,258.8,262.0,257.05,260.0,258.25
HEIDELBERG,2021-07-09,257.9,260.5,256.5,258.5,258.45
HEIDELBERG,2021-07-12,260.4,266.2,258.6,261.05,260.25
HEIDELBERG,2021-07-13,262.8,264.6,260.1,261.1,260.95
HEIDELBERG,2021-07-14,261.0,268.0,261.0,264.35,263.9
HEIDELBERG,2021-07-15,264.2,267.0,264.05,264.65,264.75
HEIDELBERG,2021-07-16,266.65,266.8,261.5,263.4,263.3
HEIDELBERG,2021-07-19,262.95,266.0,260.2,263.85,263.3
HEIDELBERG,2021-07-20,268.2,275.4,262.1,264.05,265.5
HEIDELBERG,2021-07-20,268.2,275.4,262.1,264.05,265.5
HEIDELBERG,2021-07-22,269.0,274.8,263.0,264.0,266.0
HEIDELBERG,2021-07-23,264.5,264.5,258.25,261.0,260.5
HEIDELBERG,2021-07-26,263.4,263.8,258.5,259.6,259.6
HEIDELBERG,2021-07-27,260.95,261.85,256.5,257.8,257.4
HEIDELBERG,2021-07-28,258.0,259.15,252.65,253.35,253.6
