COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
HEROMOTOCO,2021-07-01,2905.0,2947.0,2905.0,2928.0,2922.5
HEROMOTOCO,2021-07-02,2960.0,2968.95,2907.15,2922.4,2919.85
HEROMOTOCO,2021-07-05,2936.9,2951.9,2925.1,2943.6,2938.05
HEROMOTOCO,2021-07-06,2937.0,2954.0,2912.4,2920.0,2919.25
HEROMOTOCO,2021-07-07,2919.0,2922.0,2891.2,2915.5,2913.35
HEROMOTOCO,2021-07-08,2911.0,2934.85,2890.15,2907.0,2900.4
HEROMOTOCO,2021-07-09,2900.4,2919.65,2876.05,2899.95,2896.8
HEROMOTOCO,2021-07-12,2914.0,2926.0,2895.1,2900.0,2898.2
HEROMOTOCO,2021-07-13,2919.0,2919.0,2896.3,2903.25,2904.1
HEROMOTOCO,2021-07-14,2920.0,2920.0,2896.0,2899.0,2900.7
HEROMOTOCO,2021-07-15,2910.0,2913.4,2882.05,2888.0,2884.65
HEROMOTOCO,2021-07-16,2887.0,2908.65,2880.0,2901.0,2904.7
HEROMOTOCO,2021-07-19,2886.0,2894.4,2870.1,2888.0,2887.1
HEROMOTOCO,2021-07-20,2888.0,2899.0,2828.0,2843.0,2839.0
HEROMOTOCO,2021-07-20,2888.0,2899.0,2828.0,2843.0,2839.0
HEROMOTOCO,2021-07-22,2835.05,2847.0,2806.2,2847.0,2838.25
HEROMOTOCO,2021-07-23,2850.05,2864.0,2821.0,2835.9,2835.0
HEROMOTOCO,2021-07-26,2830.0,2833.85,2808.0,2809.8,2810.25
HEROMOTOCO,2021-07-27,2821.8,2826.25,2790.5,2794.0,2793.85
HEROMOTOCO,2021-07-28,2796.3,2805.95,2761.0,2777.0,2777.7
