COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
HESTERBIO,2021-07-01,2612.7,2644.35,2564.0,2586.0,2574.8
HESTERBIO,2021-07-02,2587.4,2618.75,2565.25,2583.0,2581.55
HESTERBIO,2021-07-05,2644.7,2659.95,2575.0,2600.0,2589.35
HESTERBIO,2021-07-06,2589.35,2650.0,2540.0,2550.0,2549.7
HESTERBIO,2021-07-07,2557.1,2599.0,2547.5,2562.0,2553.25
HESTERBIO,2021-07-08,2550.45,2589.3,2498.7,2521.0,2521.7
HESTERBIO,2021-07-09,2501.1,2545.9,2492.15,2504.55,2510.2
HESTERBIO,2021-07-12,2516.0,2545.9,2505.0,2505.0,2507.6
HESTERBIO,2021-07-13,2530.0,2530.0,2491.0,2495.0,2500.6
HESTERBIO,2021-07-14,2525.0,2525.05,2476.1,2480.0,2483.55
HESTERBIO,2021-07-15,2573.95,2609.95,2501.0,2503.0,2516.3
HESTERBIO,2021-07-16,2524.0,2545.5,2475.0,2498.0,2486.35
HESTERBIO,2021-07-19,2486.0,2511.45,2422.0,2452.0,2435.35
HESTERBIO,2021-07-20,2435.35,2450.0,2378.9,2399.8,2385.75
HESTERBIO,2021-07-20,2435.35,2450.0,2378.9,2399.8,2385.75
HESTERBIO,2021-07-22,2449.9,2449.9,2401.9,2434.0,2420.8
HESTERBIO,2021-07-23,2450.0,2450.0,2394.05,2420.0,2411.7
HESTERBIO,2021-07-26,2420.0,2420.0,2368.3,2385.0,2380.2
HESTERBIO,2021-07-27,2417.0,2417.0,2342.1,2364.0,2351.75
HESTERBIO,2021-07-28,2325.0,2370.1,2312.6,2347.0,2328.95
