COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
HINDCOMPOS,2021-07-01,317.9,324.75,317.2,319.65,319.95
HINDCOMPOS,2021-07-02,322.55,323.95,315.95,323.5,319.05
HINDCOMPOS,2021-07-05,324.95,324.95,318.8,319.25,319.75
HINDCOMPOS,2021-07-06,324.95,325.05,320.05,324.9,322.35
HINDCOMPOS,2021-07-07,326.8,339.95,324.25,327.35,329.75
HINDCOMPOS,2021-07-08,334.9,344.95,329.1,330.8,331.7
HINDCOMPOS,2021-07-09,339.5,340.0,328.05,328.2,330.75
HINDCOMPOS,2021-07-12,334.75,335.95,322.45,325.0,324.3
HINDCOMPOS,2021-07-13,329.95,349.05,322.2,339.5,339.6
HINDCOMPOS,2021-07-14,344.6,346.05,337.0,339.4,339.8
HINDCOMPOS,2021-07-15,337.1,345.0,332.0,334.25,334.6
HINDCOMPOS,2021-07-16,336.55,343.75,333.05,334.25,336.0
HINDCOMPOS,2021-07-19,327.2,347.0,327.2,333.85,333.2
HINDCOMPOS,2021-07-20,336.95,336.95,325.0,325.0,325.6
HINDCOMPOS,2021-07-20,336.95,336.95,325.0,325.0,325.6
HINDCOMPOS,2021-07-22,328.2,331.55,326.5,330.0,328.55
HINDCOMPOS,2021-07-23,332.05,334.45,326.85,329.35,327.35
HINDCOMPOS,2021-07-26,324.05,334.75,324.05,327.75,327.8
HINDCOMPOS,2021-07-27,331.85,334.3,328.0,332.0,330.9
HINDCOMPOS,2021-07-28,337.0,337.05,327.05,332.3,329.7
