COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
HIRECT,2021-07-01,154.2,161.45,154.2,159.0,159.45
HIRECT,2021-07-02,164.0,164.0,154.25,157.6,157.4
HIRECT,2021-07-05,156.55,161.95,156.2,157.5,157.5
HIRECT,2021-07-06,158.5,163.5,156.5,157.0,157.45
HIRECT,2021-07-07,154.3,160.0,154.25,159.0,157.35
HIRECT,2021-07-08,157.55,161.7,155.9,156.0,156.45
HIRECT,2021-07-09,156.6,162.7,156.6,160.5,160.5
HIRECT,2021-07-12,163.0,164.2,158.25,159.0,159.2
HIRECT,2021-07-13,162.95,163.85,158.65,161.7,162.35
HIRECT,2021-07-14,160.35,169.7,160.25,167.0,167.5
HIRECT,2021-07-15,169.8,172.7,168.0,169.0,168.75
HIRECT,2021-07-16,171.0,175.0,165.0,169.25,169.45
HIRECT,2021-07-19,169.0,170.2,161.95,162.5,163.8
HIRECT,2021-07-20,163.5,163.7,154.0,156.0,156.05
HIRECT,2021-07-20,163.5,163.7,154.0,156.0,156.05
HIRECT,2021-07-22,158.5,162.4,158.5,161.9,160.8
HIRECT,2021-07-23,164.95,164.95,156.1,160.0,157.4
HIRECT,2021-07-26,160.0,160.0,152.75,155.7,154.9
HIRECT,2021-07-27,157.0,158.65,152.75,156.5,154.35
HIRECT,2021-07-28,154.6,158.0,150.3,154.05,154.55
