COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
HLVLTD,2021-07-01,10.0,10.0,9.75,9.9,9.85
HLVLTD,2021-07-02,9.9,10.05,9.8,9.85,9.9
HLVLTD,2021-07-05,10.0,10.15,9.8,10.1,10.1
HLVLTD,2021-07-06,10.05,11.1,10.0,10.45,10.45
HLVLTD,2021-07-07,10.5,10.5,10.0,10.05,10.1
HLVLTD,2021-07-08,10.25,10.35,10.0,10.25,10.2
HLVLTD,2021-07-09,10.25,10.35,10.05,10.2,10.2
HLVLTD,2021-07-12,10.2,10.8,10.2,10.65,10.6
HLVLTD,2021-07-13,10.7,10.9,10.6,10.65,10.7
HLVLTD,2021-07-14,10.7,10.7,10.35,10.4,10.4
HLVLTD,2021-07-15,10.35,10.65,10.25,10.4,10.4
HLVLTD,2021-07-16,10.5,10.65,10.4,10.55,10.5
HLVLTD,2021-07-19,10.25,10.4,10.0,10.2,10.15
HLVLTD,2021-07-20,10.05,10.15,9.85,9.9,9.95
HLVLTD,2021-07-20,10.05,10.15,9.85,9.9,9.95
HLVLTD,2021-07-22,10.0,10.15,9.8,9.95,9.95
HLVLTD,2021-07-23,10.2,10.2,9.65,9.8,9.8
HLVLTD,2021-07-26,9.7,9.9,9.55,9.6,9.65
HLVLTD,2021-07-27,9.85,9.85,9.65,9.8,9.75
HLVLTD,2021-07-28,9.85,9.85,9.5,9.6,9.55
