COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
HOVS,2021-07-01,58.55,59.5,53.9,54.75,54.85
HOVS,2021-07-02,55.9,57.0,53.65,54.1,54.0
HOVS,2021-07-05,56.0,56.0,52.0,52.95,52.85
HOVS,2021-07-06,53.7,55.0,51.25,53.0,52.0
HOVS,2021-07-07,53.0,53.75,52.1,52.8,52.55
HOVS,2021-07-08,53.45,54.75,52.6,53.65,53.4
HOVS,2021-07-09,54.4,56.05,52.25,56.05,55.5
HOVS,2021-07-12,57.5,58.25,56.7,58.25,58.25
HOVS,2021-07-13,59.3,61.15,57.1,58.55,58.75
HOVS,2021-07-14,57.05,61.65,57.05,61.65,61.65
HOVS,2021-07-15,63.9,64.7,63.05,64.7,64.7
HOVS,2021-07-16,67.25,67.9,67.25,67.9,67.9
HOVS,2021-07-19,68.0,71.25,68.0,71.25,71.25
HOVS,2021-07-20,72.35,74.8,70.05,74.8,74.8
HOVS,2021-07-20,72.35,74.8,70.05,74.8,74.8
HOVS,2021-07-22,78.5,78.5,78.5,78.5,78.5
HOVS,2021-07-23,82.4,82.4,82.4,82.4,82.4
HOVS,2021-07-26,86.5,86.5,79.0,86.5,86.45
HOVS,2021-07-27,89.5,90.7,83.4,87.0,87.85
HOVS,2021-07-28,89.15,89.15,83.5,83.5,83.5
