COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
HTMEDIA,2021-07-01,26.7,27.0,26.0,26.5,26.3
HTMEDIA,2021-07-02,26.15,26.85,26.15,26.4,26.55
HTMEDIA,2021-07-05,28.0,28.35,27.4,27.65,27.75
HTMEDIA,2021-07-06,28.0,28.45,27.35,27.45,27.5
HTMEDIA,2021-07-07,27.6,28.0,27.15,27.55,27.55
HTMEDIA,2021-07-08,27.8,27.8,26.65,27.0,26.95
HTMEDIA,2021-07-09,26.7,27.4,26.3,26.85,26.6
HTMEDIA,2021-07-12,27.0,27.2,26.35,26.45,26.5
HTMEDIA,2021-07-13,26.6,27.25,26.6,26.75,26.85
HTMEDIA,2021-07-14,27.0,27.2,26.6,26.8,26.75
HTMEDIA,2021-07-15,26.95,27.05,26.45,26.5,26.5
HTMEDIA,2021-07-16,26.7,26.95,26.1,26.35,26.35
HTMEDIA,2021-07-19,26.4,31.35,26.15,30.1,30.5
HTMEDIA,2021-07-20,31.25,34.5,30.5,33.1,32.85
HTMEDIA,2021-07-20,31.25,34.5,30.5,33.1,32.85
HTMEDIA,2021-07-22,33.7,35.3,32.55,33.85,33.85
HTMEDIA,2021-07-23,34.0,34.3,31.25,31.9,31.65
HTMEDIA,2021-07-26,31.65,32.9,31.2,31.35,31.45
HTMEDIA,2021-07-27,31.75,32.3,30.15,30.5,30.4
HTMEDIA,2021-07-28,30.65,30.7,28.2,29.25,29.05
