COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
IBULHSGFIN,2021-07-01,261.05,263.4,259.0,260.2,260.05
IBULHSGFIN,2021-07-02,261.5,266.05,259.15,259.6,260.0
IBULHSGFIN,2021-07-05,262.0,276.7,260.15,271.8,272.4
IBULHSGFIN,2021-07-06,271.45,271.95,261.0,261.5,262.25
IBULHSGFIN,2021-07-07,264.2,265.65,258.45,263.95,262.95
IBULHSGFIN,2021-07-08,262.95,266.65,260.4,261.4,261.65
IBULHSGFIN,2021-07-09,260.65,271.6,260.4,270.9,269.45
IBULHSGFIN,2021-07-12,271.9,275.0,267.0,271.4,270.85
IBULHSGFIN,2021-07-13,273.0,281.0,269.05,278.95,279.25
IBULHSGFIN,2021-07-14,281.0,284.85,269.25,270.2,270.45
IBULHSGFIN,2021-07-15,271.1,272.0,265.05,265.8,266.1
IBULHSGFIN,2021-07-16,266.2,277.0,266.2,275.55,275.55
IBULHSGFIN,2021-07-19,273.0,278.8,268.5,270.05,270.85
IBULHSGFIN,2021-07-20,270.85,276.9,264.05,264.6,265.95
IBULHSGFIN,2021-07-20,270.85,276.9,264.05,264.6,265.95
IBULHSGFIN,2021-07-22,273.0,279.0,272.0,275.35,275.2
IBULHSGFIN,2021-07-23,277.0,285.0,272.2,284.5,283.65
IBULHSGFIN,2021-07-26,284.0,297.8,283.0,283.95,285.15
IBULHSGFIN,2021-07-27,286.0,289.85,275.4,276.45,277.4
IBULHSGFIN,2021-07-28,278.15,282.4,269.4,274.4,273.9
