COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
ICEMAKE,2021-07-01,79.05,81.1,77.95,79.5,78.85
ICEMAKE,2021-07-02,81.65,81.65,79.05,79.95,79.9
ICEMAKE,2021-07-05,80.35,81.95,78.8,79.3,79.3
ICEMAKE,2021-07-06,81.45,81.45,79.55,80.7,80.45
ICEMAKE,2021-07-07,80.0,81.9,78.05,79.1,79.25
ICEMAKE,2021-07-08,82.05,91.35,79.2,88.0,89.5
ICEMAKE,2021-07-09,92.9,95.45,90.05,92.0,91.85
ICEMAKE,2021-07-12,93.45,93.95,88.3,88.95,88.6
ICEMAKE,2021-07-13,90.95,90.95,88.0,88.85,88.75
ICEMAKE,2021-07-14,88.85,89.9,85.05,85.55,86.1
ICEMAKE,2021-07-15,87.1,87.95,84.6,85.35,85.15
ICEMAKE,2021-07-16,87.95,88.5,84.9,86.0,85.75
ICEMAKE,2021-07-19,85.25,92.9,83.55,90.2,91.1
ICEMAKE,2021-07-20,91.8,93.95,87.55,89.55,90.0
ICEMAKE,2021-07-20,91.8,93.95,87.55,89.55,90.0
ICEMAKE,2021-07-22,86.5,92.65,86.5,89.45,89.35
ICEMAKE,2021-07-23,87.7,90.35,86.55,88.5,88.8
ICEMAKE,2021-07-26,90.0,90.0,85.9,86.95,86.45
ICEMAKE,2021-07-27,88.0,88.0,83.8,84.2,84.25
ICEMAKE,2021-07-28,84.35,85.75,80.0,80.5,81.6
