COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
ICICIBANKN,2021-07-01,357.7,357.7,344.66,346.02,345.81
ICICIBANKN,2021-07-02,356.7,356.7,345.21,347.26,346.46
ICICIBANKN,2021-07-05,354.7,354.7,315.3,350.6,350.32
ICICIBANKN,2021-07-06,353.4,355.64,347.25,352.65,353.77
ICICIBANKN,2021-07-07,357.0,357.0,352.34,355.5,355.13
ICICIBANKN,2021-07-08,358.0,358.0,350.26,351.29,351.13
ICICIBANKN,2021-07-09,359.6,359.6,347.66,350.0,350.03
ICICIBANKN,2021-07-12,364.7,364.7,318.5,350.38,350.31
ICICIBANKN,2021-07-13,354.4,355.03,347.25,354.61,354.54
ICICIBANKN,2021-07-14,400.6,400.6,352.51,354.68,354.65
ICICIBANKN,2021-07-15,362.6,362.6,355.13,358.0,357.78
ICICIBANKN,2021-07-16,360.8,360.8,355.59,356.62,356.31
ICICIBANKN,2021-07-19,354.0,354.0,342.1,350.1,349.84
ICICIBANKN,2021-07-20,359.0,359.0,342.8,342.94,343.17
ICICIBANKN,2021-07-20,359.0,359.0,342.8,342.94,343.17
ICICIBANKN,2021-07-22,394.6,394.6,340.0,346.14,345.54
ICICIBANKN,2021-07-23,350.0,350.0,343.0,347.94,348.27
ICICIBANKN,2021-07-26,348.98,349.46,345.65,347.26,347.67
ICICIBANKN,2021-07-27,352.0,353.0,345.6,346.25,346.3
ICICIBANKN,2021-07-28,332.4,354.7,331.7,344.22,344.43
