COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
ICIL,2021-07-01,171.9,172.45,165.65,167.1,166.55
ICIL,2021-07-02,170.0,174.0,169.4,172.75,171.5
ICIL,2021-07-05,174.0,176.0,171.35,174.75,173.95
ICIL,2021-07-06,175.0,189.2,171.45,186.0,184.5
ICIL,2021-07-07,186.0,188.2,182.35,184.1,184.85
ICIL,2021-07-08,185.6,192.9,178.0,184.0,183.3
ICIL,2021-07-09,183.9,184.65,180.3,184.0,183.4
ICIL,2021-07-12,184.85,190.8,184.6,189.0,189.15
ICIL,2021-07-13,191.0,191.8,186.5,187.7,188.65
ICIL,2021-07-14,191.25,209.8,191.1,206.2,206.45
ICIL,2021-07-15,207.0,208.45,198.1,198.65,199.35
ICIL,2021-07-16,203.7,209.0,201.4,208.35,207.2
ICIL,2021-07-19,205.0,214.0,197.7,209.0,205.95
ICIL,2021-07-20,205.95,208.8,195.0,204.4,204.6
ICIL,2021-07-20,205.95,208.8,195.0,204.4,204.6
ICIL,2021-07-22,206.0,223.35,205.8,221.0,219.2
ICIL,2021-07-23,220.5,231.0,220.5,226.5,226.5
ICIL,2021-07-26,225.3,254.4,225.3,251.0,247.75
ICIL,2021-07-27,250.0,259.5,241.1,259.0,257.8
ICIL,2021-07-28,259.0,266.7,235.0,263.0,264.4
