COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
IMPAL,2021-07-01,758.0,783.95,758.0,769.65,772.95
IMPAL,2021-07-02,765.0,786.25,765.0,779.0,777.1
IMPAL,2021-07-05,790.55,799.0,771.25,775.0,775.6
IMPAL,2021-07-06,780.0,787.8,769.45,774.0,771.4
IMPAL,2021-07-07,771.6,784.4,771.55,779.0,782.9
IMPAL,2021-07-08,763.05,785.0,763.05,771.0,769.5
IMPAL,2021-07-09,764.1,776.95,764.1,772.0,770.55
IMPAL,2021-07-12,784.4,790.15,772.25,780.0,777.5
IMPAL,2021-07-13,789.0,789.0,764.0,765.0,765.3
IMPAL,2021-07-14,768.55,778.55,768.0,775.45,774.4
IMPAL,2021-07-15,777.75,779.5,760.5,769.5,770.5
IMPAL,2021-07-16,770.6,776.95,765.0,771.0,772.7
IMPAL,2021-07-19,751.6,771.0,751.6,760.75,767.75
IMPAL,2021-07-20,769.9,774.95,754.0,765.0,765.5
IMPAL,2021-07-20,769.9,774.95,754.0,765.0,765.5
IMPAL,2021-07-22,770.1,779.05,763.05,765.0,764.85
IMPAL,2021-07-23,762.5,775.0,762.5,767.1,769.1
IMPAL,2021-07-26,763.0,775.0,763.0,770.0,768.8
IMPAL,2021-07-27,770.6,801.05,768.0,799.0,797.5
IMPAL,2021-07-28,825.0,920.0,803.2,863.5,874.3
