COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
INCREDIBLE,2021-07-01,41.85,41.9,37.35,38.6,38.7
INCREDIBLE,2021-07-02,38.3,41.5,38.15,40.25,40.4
INCREDIBLE,2021-07-05,41.2,41.25,38.8,39.75,40.4
INCREDIBLE,2021-07-06,40.0,40.85,36.0,37.6,37.5
INCREDIBLE,2021-07-07,38.4,41.3,38.2,39.4,39.25
INCREDIBLE,2021-07-08,39.9,41.2,39.0,39.65,39.8
INCREDIBLE,2021-07-09,39.15,40.6,39.15,39.3,39.4
INCREDIBLE,2021-07-12,39.15,40.35,38.3,38.7,39.1
INCREDIBLE,2021-07-13,39.2,41.2,38.1,39.1,39.05
INCREDIBLE,2021-07-14,39.1,39.6,37.2,38.0,38.0
INCREDIBLE,2021-07-15,38.1,38.5,36.6,37.3,37.2
INCREDIBLE,2021-07-16,38.9,38.9,36.65,37.3,37.05
INCREDIBLE,2021-07-19,37.0,40.65,36.95,39.0,39.2
