COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
INDIACEM,2021-07-01,192.75,195.15,190.0,192.95,193.4
INDIACEM,2021-07-02,193.5,196.6,192.0,192.3,192.55
INDIACEM,2021-07-05,193.0,194.25,191.1,191.55,191.65
INDIACEM,2021-07-06,192.0,203.7,191.5,194.9,195.2
INDIACEM,2021-07-07,195.0,198.5,194.1,197.45,197.3
INDIACEM,2021-07-08,197.3,198.95,191.2,193.5,193.5
INDIACEM,2021-07-09,193.5,194.7,191.6,193.5,193.0
INDIACEM,2021-07-12,194.5,197.7,189.1,190.1,190.35
INDIACEM,2021-07-13,191.9,192.95,190.7,191.35,191.55
INDIACEM,2021-07-14,191.8,196.5,190.7,192.8,193.0
INDIACEM,2021-07-15,193.7,194.9,191.6,192.4,192.35
INDIACEM,2021-07-16,193.9,195.85,191.55,192.1,192.05
INDIACEM,2021-07-19,191.0,194.7,190.35,193.0,192.45
INDIACEM,2021-07-20,194.9,201.7,193.1,195.25,196.45
INDIACEM,2021-07-20,194.9,201.7,193.1,195.25,196.45
INDIACEM,2021-07-22,198.5,205.5,195.1,199.0,200.3
INDIACEM,2021-07-23,201.0,202.65,196.25,196.85,197.15
INDIACEM,2021-07-26,198.0,200.9,195.0,196.75,196.95
INDIACEM,2021-07-27,198.0,199.4,190.55,192.9,193.3
INDIACEM,2021-07-28,194.1,194.1,187.3,191.85,191.55
