COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
INDOSTAR,2021-07-01,353.0,362.45,350.75,354.0,353.6
INDOSTAR,2021-07-02,361.0,361.0,354.0,355.0,355.05
INDOSTAR,2021-07-05,359.95,359.95,348.0,349.7,351.15
INDOSTAR,2021-07-06,355.95,357.1,349.1,352.9,353.55
INDOSTAR,2021-07-07,354.0,357.2,342.85,345.15,344.45
INDOSTAR,2021-07-08,344.0,352.0,336.6,339.95,338.45
INDOSTAR,2021-07-09,340.0,343.9,335.55,343.9,339.05
INDOSTAR,2021-07-12,347.4,349.75,340.85,343.8,342.4
INDOSTAR,2021-07-13,343.15,347.5,342.0,343.0,343.45
INDOSTAR,2021-07-14,345.0,346.95,339.55,345.9,344.05
INDOSTAR,2021-07-15,345.85,347.0,340.05,340.05,342.05
INDOSTAR,2021-07-16,342.0,346.65,339.0,342.0,341.9
INDOSTAR,2021-07-19,339.0,352.7,337.05,349.75,349.9
INDOSTAR,2021-07-20,350.0,353.2,340.3,346.9,346.4
INDOSTAR,2021-07-20,350.0,353.2,340.3,346.9,346.4
INDOSTAR,2021-07-22,352.9,352.9,341.1,344.9,342.9
INDOSTAR,2021-07-23,341.0,360.0,341.0,345.6,348.2
INDOSTAR,2021-07-26,348.5,353.9,344.35,344.45,348.25
INDOSTAR,2021-07-27,344.0,349.0,338.0,342.0,341.65
INDOSTAR,2021-07-28,345.95,345.95,336.45,338.2,340.3
