COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
INFIBEAM,2021-07-01,52.25,52.5,51.3,51.4,51.35
INFIBEAM,2021-07-02,51.2,51.75,50.4,50.65,50.65
INFIBEAM,2021-07-05,50.85,53.8,50.55,52.75,52.75
INFIBEAM,2021-07-06,53.55,56.1,53.55,54.7,54.35
INFIBEAM,2021-07-07,54.6,56.0,54.3,54.55,54.6
INFIBEAM,2021-07-08,54.85,55.65,52.6,52.65,52.9
INFIBEAM,2021-07-09,52.6,53.4,50.0,51.0,50.9
INFIBEAM,2021-07-12,51.4,52.4,48.9,50.0,50.2
INFIBEAM,2021-07-13,50.4,51.5,48.95,49.15,49.6
INFIBEAM,2021-07-14,49.75,50.7,49.05,49.6,49.3
INFIBEAM,2021-07-15,49.75,50.7,48.95,49.95,49.55
INFIBEAM,2021-07-16,49.85,50.7,49.7,50.1,50.0
INFIBEAM,2021-07-19,49.75,52.6,47.9,48.75,49.0
INFIBEAM,2021-07-20,48.9,49.4,47.4,48.7,48.65
INFIBEAM,2021-07-20,48.9,49.4,47.4,48.7,48.65
INFIBEAM,2021-07-22,49.0,49.4,48.4,48.7,48.75
INFIBEAM,2021-07-23,49.05,49.25,44.6,45.0,45.0
INFIBEAM,2021-07-26,45.05,46.5,45.0,45.5,45.55
INFIBEAM,2021-07-27,45.9,46.6,44.8,44.9,45.0
INFIBEAM,2021-07-28,45.2,45.45,44.0,44.9,44.65
