COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
INGERRAND,2021-07-01,986.3,992.75,976.15,986.0,987.3
INGERRAND,2021-07-02,992.25,999.55,966.0,972.3,969.05
INGERRAND,2021-07-05,970.25,989.65,958.3,963.0,963.65
INGERRAND,2021-07-06,966.1,974.35,959.05,962.5,962.0
INGERRAND,2021-07-07,966.0,970.0,960.05,964.0,961.9
INGERRAND,2021-07-08,963.0,982.9,960.0,965.0,962.9
INGERRAND,2021-07-09,980.0,980.0,962.75,972.2,972.05
INGERRAND,2021-07-12,978.8,991.45,970.2,977.3,978.45
INGERRAND,2021-07-13,980.0,991.45,972.2,976.45,977.25
INGERRAND,2021-07-14,974.0,996.0,971.1,974.4,975.7
INGERRAND,2021-07-15,978.0,995.55,970.95,971.05,979.1
INGERRAND,2021-07-16,978.7,978.7,962.2,965.0,965.05
INGERRAND,2021-07-19,969.0,1033.0,961.05,1032.0,1026.1
INGERRAND,2021-07-20,1045.0,1074.9,1016.0,1030.0,1030.7
INGERRAND,2021-07-20,1045.0,1074.9,1016.0,1030.0,1030.7
INGERRAND,2021-07-22,1053.0,1064.9,1021.0,1027.9,1028.3
INGERRAND,2021-07-23,1010.5,1033.45,1005.0,1010.0,1012.35
INGERRAND,2021-07-26,1017.0,1019.95,997.2,1007.9,1005.65
INGERRAND,2021-07-27,1002.0,1030.0,1002.0,1015.0,1010.25
INGERRAND,2021-07-28,1011.0,1015.6,980.8,996.0,993.55
