COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
INSPIRISYS,2021-07-01,54.55,55.75,53.05,55.0,54.85
INSPIRISYS,2021-07-02,54.85,55.45,53.0,53.9,54.15
INSPIRISYS,2021-07-05,55.7,56.85,53.9,56.85,56.85
INSPIRISYS,2021-07-06,59.25,59.65,58.15,59.65,59.65
INSPIRISYS,2021-07-07,61.5,62.0,58.05,60.7,60.5
INSPIRISYS,2021-07-08,61.8,61.95,58.1,59.0,58.45
INSPIRISYS,2021-07-09,60.35,61.35,59.1,61.35,61.35
INSPIRISYS,2021-07-12,63.95,64.4,63.4,64.4,64.4
INSPIRISYS,2021-07-13,66.3,66.75,61.3,62.95,62.1
INSPIRISYS,2021-07-14,63.65,65.2,59.55,65.2,65.2
INSPIRISYS,2021-07-15,67.0,68.45,66.9,68.45,68.45
INSPIRISYS,2021-07-16,71.85,71.85,69.0,69.7,71.25
INSPIRISYS,2021-07-19,70.75,70.75,67.7,67.7,67.7
