COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
INTENTECH,2021-07-01,70.75,71.55,69.65,70.65,70.6
INTENTECH,2021-07-02,70.75,71.95,69.75,69.8,70.0
INTENTECH,2021-07-05,71.0,71.9,68.0,68.7,68.45
INTENTECH,2021-07-06,69.0,70.35,68.2,68.65,68.4
INTENTECH,2021-07-07,69.0,70.25,66.85,67.0,67.9
INTENTECH,2021-07-08,68.35,72.75,68.05,70.75,70.9
INTENTECH,2021-07-09,72.45,72.75,70.2,70.7,70.95
INTENTECH,2021-07-12,70.6,76.35,70.6,75.35,74.65
INTENTECH,2021-07-13,76.9,77.15,72.65,74.5,74.4
INTENTECH,2021-07-14,75.5,77.75,72.25,75.0,75.3
INTENTECH,2021-07-15,76.4,77.6,74.4,75.15,74.9
INTENTECH,2021-07-16,75.95,76.4,73.1,74.9,74.6
INTENTECH,2021-07-19,75.3,82.05,73.95,82.05,82.05
INTENTECH,2021-07-20,88.0,90.25,85.0,90.25,90.25
INTENTECH,2021-07-20,88.0,90.25,85.0,90.25,90.25
INTENTECH,2021-07-22,99.25,99.25,99.25,99.25,99.25
INTENTECH,2021-07-23,104.2,104.2,100.0,104.2,104.2
INTENTECH,2021-07-26,106.45,106.5,99.0,99.0,99.0
INTENTECH,2021-07-27,99.0,103.95,99.0,103.95,103.95
INTENTECH,2021-07-28,109.1,109.1,103.95,109.1,109.1
