COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
IRCTC,2021-07-01,2047.8,2058.85,2030.3,2041.0,2034.8
IRCTC,2021-07-02,2048.0,2068.95,2037.0,2064.0,2060.55
IRCTC,2021-07-05,2084.0,2195.0,2068.15,2192.0,2173.6
IRCTC,2021-07-06,2200.0,2222.0,2160.0,2172.0,2168.9
IRCTC,2021-07-07,2168.9,2199.0,2160.35,2186.0,2188.45
IRCTC,2021-07-08,2195.0,2248.0,2185.0,2192.15,2193.9
IRCTC,2021-07-09,2193.9,2224.0,2168.45,2208.0,2209.25
IRCTC,2021-07-12,2228.95,2271.9,2217.25,2260.0,2262.9
IRCTC,2021-07-13,2273.0,2283.95,2256.15,2270.0,2274.45
IRCTC,2021-07-14,2281.9,2281.9,2245.55,2261.65,2266.4
IRCTC,2021-07-15,2266.4,2297.1,2251.0,2269.0,2268.3
IRCTC,2021-07-16,2274.0,2457.4,2268.75,2415.0,2426.65
IRCTC,2021-07-19,2404.9,2456.0,2385.45,2426.75,2424.5
IRCTC,2021-07-20,2436.0,2479.95,2370.0,2376.9,2380.65
IRCTC,2021-07-20,2436.0,2479.95,2370.0,2376.9,2380.65
IRCTC,2021-07-22,2404.0,2417.05,2342.0,2361.7,2365.15
IRCTC,2021-07-23,2369.9,2382.45,2316.0,2324.95,2325.35
IRCTC,2021-07-26,2334.5,2365.0,2302.05,2315.9,2313.3
IRCTC,2021-07-27,2327.95,2347.0,2281.0,2297.2,2295.55
IRCTC,2021-07-28,2305.0,2315.0,2262.85,2280.0,2283.65
