COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
IVZINNIFTY,2021-07-01,1750.0,1780.0,1715.35,1716.4,1716.4
IVZINNIFTY,2021-07-02,1708.95,1708.95,1693.85,1693.85,1693.85
IVZINNIFTY,2021-07-05,1724.9,1725.95,1706.0,1706.0,1706.0
IVZINNIFTY,2021-07-06,1712.8,1735.5,1712.8,1735.5,1735.5
IVZINNIFTY,2021-07-08,1729.4,1729.4,1710.4,1710.4,1717.4
IVZINNIFTY,2021-07-09,1708.95,1708.95,1698.45,1698.45,1698.45
IVZINNIFTY,2021-07-12,1721.35,1721.35,1714.0,1714.0,1714.0
IVZINNIFTY,2021-07-13,1704.2,1708.45,1704.2,1708.45,1708.45
IVZINNIFTY,2021-07-14,1720.85,1720.85,1711.6,1711.6,1711.6
IVZINNIFTY,2021-07-16,1740.65,1740.65,1721.25,1721.25,1721.25
IVZINNIFTY,2021-07-19,1711.1,1711.1,1710.25,1710.25,1710.25
IVZINNIFTY,2021-07-20,1665.6,1701.1,1665.6,1700.0,1700.0
IVZINNIFTY,2021-07-20,1665.6,1701.1,1665.6,1700.0,1700.0
IVZINNIFTY,2021-07-22,1700.0,1724.7,1654.7,1708.65,1708.65
IVZINNIFTY,2021-07-28,1708.65,1708.65,1698.1,1700.0,1700.0
