COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
JAGSNPHARM,2021-07-01,155.0,157.0,150.65,151.75,151.8
JAGSNPHARM,2021-07-02,151.8,154.75,150.75,152.0,152.15
JAGSNPHARM,2021-07-05,152.15,155.0,143.05,146.7,145.15
JAGSNPHARM,2021-07-06,147.25,151.0,145.3,151.0,148.75
JAGSNPHARM,2021-07-07,151.0,152.95,148.25,150.5,150.75
JAGSNPHARM,2021-07-08,151.85,155.25,148.45,154.05,153.35
JAGSNPHARM,2021-07-09,155.0,184.0,153.35,184.0,184.0
JAGSNPHARM,2021-07-12,186.8,188.0,171.2,172.15,172.35
JAGSNPHARM,2021-07-13,173.0,177.0,169.0,170.0,170.5
JAGSNPHARM,2021-07-14,170.5,177.0,169.45,171.5,171.3
JAGSNPHARM,2021-07-15,174.0,175.0,170.1,171.5,171.2
JAGSNPHARM,2021-07-16,170.1,173.95,167.5,168.0,168.0
JAGSNPHARM,2021-07-19,168.0,175.9,161.95,171.05,171.0
JAGSNPHARM,2021-07-20,171.0,172.75,162.5,165.85,165.65
JAGSNPHARM,2021-07-20,171.0,172.75,162.5,165.85,165.65
JAGSNPHARM,2021-07-22,167.4,174.8,167.0,173.8,170.3
JAGSNPHARM,2021-07-23,171.5,173.2,165.0,167.15,167.05
JAGSNPHARM,2021-07-26,167.8,174.9,165.1,171.0,171.55
JAGSNPHARM,2021-07-27,172.0,187.6,170.85,181.2,180.85
JAGSNPHARM,2021-07-28,182.35,183.5,173.5,175.5,177.25
