COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
JAICORPLTD,2021-07-01,154.15,156.45,151.25,153.3,152.7
JAICORPLTD,2021-07-02,153.3,157.7,152.0,153.1,153.25
JAICORPLTD,2021-07-05,154.0,159.0,153.1,156.9,156.9
JAICORPLTD,2021-07-06,156.85,159.5,151.0,152.4,152.15
JAICORPLTD,2021-07-07,152.0,154.6,151.1,151.85,152.4
JAICORPLTD,2021-07-08,153.25,157.7,149.45,151.1,151.5
JAICORPLTD,2021-07-09,151.4,153.4,150.25,151.35,151.7
JAICORPLTD,2021-07-12,152.5,157.4,152.4,153.85,154.35
JAICORPLTD,2021-07-13,155.8,169.75,154.65,169.75,169.0
JAICORPLTD,2021-07-14,170.8,171.9,161.0,161.2,161.85
JAICORPLTD,2021-07-15,162.35,167.75,160.6,164.35,165.05
JAICORPLTD,2021-07-16,165.15,165.95,160.55,164.55,162.8
JAICORPLTD,2021-07-19,164.45,172.95,163.0,166.1,167.05
JAICORPLTD,2021-07-20,167.15,168.6,158.0,160.85,161.3
JAICORPLTD,2021-07-20,167.15,168.6,158.0,160.85,161.3
JAICORPLTD,2021-07-22,162.7,165.85,160.75,161.85,161.55
JAICORPLTD,2021-07-23,163.0,163.8,155.6,157.25,157.5
JAICORPLTD,2021-07-26,157.5,160.3,156.3,157.9,157.75
JAICORPLTD,2021-07-27,158.85,161.0,153.0,154.75,154.85
JAICORPLTD,2021-07-28,156.0,160.4,147.95,156.65,157.2
