COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
JAMNAAUTO,2021-07-01,85.0,85.0,82.85,83.05,83.1
JAMNAAUTO,2021-07-02,83.6,85.95,83.3,83.85,84.2
JAMNAAUTO,2021-07-05,84.9,89.1,84.25,86.1,86.1
JAMNAAUTO,2021-07-06,86.4,87.65,84.1,85.6,85.35
JAMNAAUTO,2021-07-07,85.5,86.0,83.85,84.1,84.05
JAMNAAUTO,2021-07-08,84.05,86.05,84.0,85.4,85.15
JAMNAAUTO,2021-07-09,85.8,85.8,84.0,84.75,84.5
JAMNAAUTO,2021-07-12,85.0,86.65,85.0,85.9,86.0
JAMNAAUTO,2021-07-13,86.6,89.7,85.55,87.0,87.25
JAMNAAUTO,2021-07-14,87.25,88.3,86.2,86.65,86.9
JAMNAAUTO,2021-07-15,88.5,89.35,87.0,87.9,87.65
JAMNAAUTO,2021-07-16,88.35,88.55,85.25,87.7,86.9
JAMNAAUTO,2021-07-19,86.25,87.5,85.4,86.0,85.75
JAMNAAUTO,2021-07-20,85.05,86.5,83.75,86.2,85.95
JAMNAAUTO,2021-07-20,85.05,86.5,83.75,86.2,85.95
JAMNAAUTO,2021-07-22,86.95,88.0,86.05,86.6,86.25
JAMNAAUTO,2021-07-23,86.55,86.95,84.0,85.5,85.7
JAMNAAUTO,2021-07-26,86.25,87.6,84.9,85.3,85.15
JAMNAAUTO,2021-07-27,85.15,86.6,84.2,86.15,85.95
JAMNAAUTO,2021-07-28,86.3,87.65,84.8,86.2,86.5
