COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
JAYAGROGN,2021-07-01,214.25,217.0,211.0,213.5,212.75
JAYAGROGN,2021-07-02,213.15,222.7,213.15,217.0,217.25
JAYAGROGN,2021-07-05,217.6,221.0,213.2,216.0,214.65
JAYAGROGN,2021-07-06,217.7,217.7,211.35,213.3,213.15
JAYAGROGN,2021-07-07,214.8,214.8,210.0,211.5,213.05
JAYAGROGN,2021-07-08,213.05,215.55,205.9,209.0,209.2
JAYAGROGN,2021-07-09,209.0,211.75,205.25,210.0,209.0
JAYAGROGN,2021-07-12,208.6,216.5,208.6,216.1,215.1
JAYAGROGN,2021-07-13,219.0,219.2,214.35,216.0,216.2
JAYAGROGN,2021-07-14,216.6,229.0,215.35,226.0,225.6
JAYAGROGN,2021-07-15,227.4,239.05,226.0,231.5,229.45
JAYAGROGN,2021-07-16,232.0,245.0,230.0,242.0,242.9
JAYAGROGN,2021-07-19,241.0,251.0,236.0,246.0,242.15
JAYAGROGN,2021-07-20,241.0,245.6,229.8,238.0,237.65
JAYAGROGN,2021-07-20,241.0,245.6,229.8,238.0,237.65
JAYAGROGN,2021-07-22,240.5,247.4,237.5,238.0,238.6
JAYAGROGN,2021-07-23,240.5,260.0,236.7,260.0,255.95
JAYAGROGN,2021-07-26,266.6,307.1,266.6,293.8,293.6
JAYAGROGN,2021-07-27,295.95,295.95,275.0,281.0,282.95
JAYAGROGN,2021-07-28,285.6,285.7,266.05,280.0,281.0
