COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
JBMA,2021-07-01,429.4,444.45,426.7,434.0,434.35
JBMA,2021-07-02,436.8,449.4,435.15,438.0,437.6
JBMA,2021-07-05,443.95,447.65,438.05,440.55,441.55
JBMA,2021-07-06,441.6,457.8,437.05,438.5,442.0
JBMA,2021-07-07,442.05,450.0,435.8,438.7,437.1
JBMA,2021-07-08,435.3,442.75,431.2,434.0,433.25
JBMA,2021-07-09,432.0,443.65,432.0,435.0,435.55
JBMA,2021-07-12,437.0,448.15,437.0,437.0,439.75
JBMA,2021-07-13,441.95,463.95,437.65,457.9,458.05
JBMA,2021-07-14,468.65,518.0,463.9,498.7,499.9
JBMA,2021-07-15,506.0,512.4,485.15,491.0,491.2
JBMA,2021-07-16,493.7,512.35,492.3,501.75,502.35
JBMA,2021-07-19,496.95,535.75,493.0,528.0,523.95
JBMA,2021-07-20,528.7,528.9,494.15,503.0,501.55
JBMA,2021-07-20,528.7,528.9,494.15,503.0,501.55
JBMA,2021-07-22,510.0,516.35,500.2,502.0,501.8
JBMA,2021-07-23,504.85,506.8,486.0,491.0,489.35
JBMA,2021-07-26,493.0,508.0,473.5,477.95,476.75
JBMA,2021-07-27,482.0,492.0,475.45,484.75,483.15
JBMA,2021-07-28,480.35,498.65,472.0,491.0,489.6
