COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
JHS,2021-07-01,22.5,24.4,22.4,23.6,23.6
JHS,2021-07-02,23.9,24.25,22.8,23.4,23.1
JHS,2021-07-05,23.35,25.4,23.35,25.4,25.4
JHS,2021-07-06,25.5,26.4,24.4,24.6,24.7
JHS,2021-07-07,24.9,24.9,24.0,24.7,24.55
JHS,2021-07-08,24.3,24.8,23.3,23.85,23.7
JHS,2021-07-09,23.7,26.05,23.3,25.6,25.65
JHS,2021-07-12,25.85,27.2,25.8,26.45,26.3
JHS,2021-07-13,26.75,27.25,26.0,26.25,26.1
JHS,2021-07-14,26.4,28.7,25.6,28.7,28.7
JHS,2021-07-15,30.5,31.2,28.0,28.75,28.75
JHS,2021-07-16,28.75,28.75,26.8,27.1,27.05
JHS,2021-07-19,26.9,27.3,26.0,26.3,26.4
JHS,2021-07-20,26.4,27.4,25.1,26.1,25.85
JHS,2021-07-20,26.4,27.4,25.1,26.1,25.85
JHS,2021-07-22,26.3,26.9,26.05,26.85,26.45
JHS,2021-07-23,26.5,26.85,25.85,26.3,26.05
JHS,2021-07-26,26.15,26.55,24.6,25.05,25.15
JHS,2021-07-27,25.4,25.8,24.6,24.95,24.9
JHS,2021-07-28,24.6,25.35,22.45,23.9,23.8
