COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
JISLJALEQS,2021-07-01,28.5,28.5,27.1,28.5,28.5
JISLJALEQS,2021-07-02,30.55,31.35,29.35,31.35,31.35
JISLJALEQS,2021-07-05,33.0,34.45,32.25,34.45,34.45
JISLJALEQS,2021-07-06,36.15,36.15,32.75,32.75,32.75
JISLJALEQS,2021-07-07,31.15,31.95,31.15,31.15,31.15
JISLJALEQS,2021-07-08,30.25,32.7,30.25,31.85,31.85
JISLJALEQS,2021-07-09,32.0,32.3,31.3,31.9,31.8
JISLJALEQS,2021-07-12,31.9,32.6,31.4,31.7,31.65
JISLJALEQS,2021-07-13,32.0,33.2,30.75,33.2,33.2
JISLJALEQS,2021-07-14,33.0,34.85,32.65,34.85,34.85
JISLJALEQS,2021-07-15,35.7,36.2,33.2,33.5,33.8
JISLJALEQS,2021-07-16,33.5,35.0,33.2,34.0,33.9
JISLJALEQS,2021-07-19,33.3,34.9,33.0,34.9,34.65
JISLJALEQS,2021-07-20,35.1,35.2,33.05,33.45,33.5
JISLJALEQS,2021-07-20,35.1,35.2,33.05,33.45,33.5
JISLJALEQS,2021-07-22,34.25,34.65,33.05,33.1,33.25
JISLJALEQS,2021-07-23,33.3,34.05,32.1,32.4,32.3
JISLJALEQS,2021-07-26,32.95,33.6,31.9,32.4,32.45
JISLJALEQS,2021-07-27,32.85,32.85,30.9,31.05,31.25
JISLJALEQS,2021-07-28,31.55,31.95,29.7,30.2,30.25
