COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
JKLAKSHMI,2021-07-01,578.0,587.0,567.55,581.6,582.25
JKLAKSHMI,2021-07-02,586.0,586.0,576.85,584.65,584.1
JKLAKSHMI,2021-07-05,588.5,602.0,584.25,600.0,599.3
JKLAKSHMI,2021-07-06,608.6,674.0,606.35,648.0,650.75
JKLAKSHMI,2021-07-07,650.75,653.75,625.35,636.4,633.95
JKLAKSHMI,2021-07-08,636.55,646.0,626.35,634.0,634.6
JKLAKSHMI,2021-07-09,636.0,644.0,628.45,641.25,638.8
JKLAKSHMI,2021-07-12,645.7,651.5,640.15,649.0,646.3
JKLAKSHMI,2021-07-13,652.0,675.0,646.0,666.0,669.65
JKLAKSHMI,2021-07-14,669.65,670.25,657.0,657.95,659.75
JKLAKSHMI,2021-07-15,664.8,667.9,649.0,654.9,653.6
JKLAKSHMI,2021-07-16,660.5,662.0,648.05,655.0,656.55
JKLAKSHMI,2021-07-19,654.75,665.95,653.05,660.0,659.7
JKLAKSHMI,2021-07-20,660.5,717.95,657.55,699.75,701.45
JKLAKSHMI,2021-07-20,660.5,717.95,657.55,699.75,701.45
JKLAKSHMI,2021-07-22,713.0,721.25,699.1,703.0,705.05
JKLAKSHMI,2021-07-23,709.0,714.55,691.45,695.0,696.45
JKLAKSHMI,2021-07-26,708.0,718.0,697.05,712.35,711.0
JKLAKSHMI,2021-07-27,716.6,729.9,713.1,726.0,727.0
JKLAKSHMI,2021-07-28,731.0,731.05,713.4,728.4,725.25
