COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
JKPAPER,2021-07-01,217.0,226.85,212.85,216.5,214.85
JKPAPER,2021-07-02,216.1,222.4,210.8,218.7,219.6
JKPAPER,2021-07-05,221.5,229.8,220.6,228.7,228.1
JKPAPER,2021-07-06,228.7,229.0,216.0,222.85,220.2
JKPAPER,2021-07-07,225.6,237.45,225.6,232.0,232.25
JKPAPER,2021-07-08,232.3,232.35,220.8,225.5,224.7
JKPAPER,2021-07-09,225.85,228.0,220.5,224.7,226.1
JKPAPER,2021-07-12,227.1,227.65,221.2,222.6,222.75
JKPAPER,2021-07-13,224.7,230.85,222.65,225.8,227.45
JKPAPER,2021-07-14,226.75,228.1,221.4,222.0,222.45
JKPAPER,2021-07-15,223.7,224.9,218.2,219.3,219.45
JKPAPER,2021-07-16,221.0,221.65,218.1,219.5,219.1
JKPAPER,2021-07-19,218.0,234.7,213.25,227.0,223.15
JKPAPER,2021-07-20,225.0,228.25,207.65,210.25,210.65
JKPAPER,2021-07-20,225.0,228.25,207.65,210.25,210.65
JKPAPER,2021-07-22,213.75,223.0,211.0,220.15,220.6
JKPAPER,2021-07-23,222.0,222.15,216.05,218.2,219.35
JKPAPER,2021-07-26,217.0,223.0,214.8,221.75,221.85
JKPAPER,2021-07-27,223.3,225.7,218.3,222.5,223.05
JKPAPER,2021-07-28,222.0,267.65,220.3,267.65,252.95
