COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
JMA,2021-07-01,55.9,63.0,53.65,60.95,60.25
JMA,2021-07-02,61.8,72.3,60.25,71.5,71.6
JMA,2021-07-05,72.7,72.7,66.0,67.8,67.65
JMA,2021-07-06,66.75,69.95,65.5,66.75,66.25
JMA,2021-07-07,65.1,69.0,65.1,68.8,68.3
JMA,2021-07-08,70.0,70.0,66.0,67.0,66.9
JMA,2021-07-09,67.0,68.5,65.4,66.75,66.65
JMA,2021-07-12,66.75,68.55,66.0,66.85,66.3
JMA,2021-07-13,65.65,68.6,65.65,67.95,67.45
JMA,2021-07-14,67.45,68.45,66.3,66.8,66.65
JMA,2021-07-15,67.75,67.75,65.9,65.95,66.15
JMA,2021-07-16,65.3,66.9,65.0,65.85,65.35
JMA,2021-07-19,66.0,66.7,64.7,66.2,66.1
JMA,2021-07-20,65.7,69.0,65.0,65.25,65.45
JMA,2021-07-20,65.7,69.0,65.0,65.25,65.45
JMA,2021-07-22,66.9,66.9,64.45,65.5,64.95
JMA,2021-07-23,66.6,66.6,63.4,63.4,64.2
JMA,2021-07-26,66.0,67.0,63.9,66.0,65.25
JMA,2021-07-27,65.3,66.0,64.55,65.15,65.6
JMA,2021-07-28,65.6,66.8,63.45,65.0,65.0
