COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
JTEKTINDIA,2021-07-01,110.0,112.0,109.15,110.0,110.05
JTEKTINDIA,2021-07-02,111.2,111.2,109.0,109.9,110.05
JTEKTINDIA,2021-07-05,110.25,111.15,108.0,108.25,108.25
JTEKTINDIA,2021-07-06,108.0,110.95,107.95,110.0,109.75
JTEKTINDIA,2021-07-07,110.0,113.9,108.0,112.0,111.35
JTEKTINDIA,2021-07-08,113.8,113.8,108.3,108.7,109.0
JTEKTINDIA,2021-07-09,108.45,110.9,108.4,108.55,108.8
JTEKTINDIA,2021-07-12,112.0,112.0,108.1,108.1,108.6
JTEKTINDIA,2021-07-13,109.5,110.0,106.75,108.0,107.95
JTEKTINDIA,2021-07-14,109.0,109.9,106.3,107.35,107.15
JTEKTINDIA,2021-07-15,107.15,120.7,107.15,115.0,115.8
JTEKTINDIA,2021-07-16,116.45,116.7,113.0,113.95,113.65
JTEKTINDIA,2021-07-19,112.5,118.8,112.0,114.95,114.7
JTEKTINDIA,2021-07-20,114.7,115.7,108.75,110.05,110.25
JTEKTINDIA,2021-07-20,114.7,115.7,108.75,110.05,110.25
JTEKTINDIA,2021-07-22,112.0,114.95,110.0,111.2,111.6
JTEKTINDIA,2021-07-23,112.5,112.5,109.1,110.15,109.75
JTEKTINDIA,2021-07-26,110.2,112.35,108.3,109.35,109.0
JTEKTINDIA,2021-07-27,109.85,111.85,108.0,109.4,108.95
JTEKTINDIA,2021-07-28,110.45,114.65,108.05,111.7,111.75
