COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
JUBLINGREA,2021-07-01,523.45,575.0,515.0,553.0,556.4
JUBLINGREA,2021-07-02,550.0,557.5,541.15,543.0,543.25
JUBLINGREA,2021-07-05,547.4,569.9,547.4,552.25,551.5
JUBLINGREA,2021-07-06,554.95,564.4,543.4,548.0,545.6
JUBLINGREA,2021-07-07,544.95,574.5,540.5,559.8,560.4
JUBLINGREA,2021-07-08,565.8,582.6,552.0,562.3,562.05
JUBLINGREA,2021-07-09,565.95,573.6,560.0,566.0,563.85
JUBLINGREA,2021-07-12,568.4,577.9,559.8,561.4,563.65
JUBLINGREA,2021-07-13,569.0,571.95,558.0,559.1,559.75
JUBLINGREA,2021-07-14,564.65,584.0,557.0,561.5,562.25
JUBLINGREA,2021-07-15,564.0,568.7,558.5,564.0,563.05
JUBLINGREA,2021-07-16,567.0,573.3,556.35,568.0,562.6
JUBLINGREA,2021-07-19,563.0,592.0,557.6,564.8,566.3
JUBLINGREA,2021-07-20,572.0,594.95,560.25,587.0,587.8
JUBLINGREA,2021-07-20,572.0,594.95,560.25,587.0,587.8
JUBLINGREA,2021-07-22,609.4,671.6,605.0,649.55,652.8
JUBLINGREA,2021-07-23,652.0,662.0,626.1,630.8,629.55
JUBLINGREA,2021-07-26,636.6,649.8,626.0,629.5,628.65
JUBLINGREA,2021-07-27,634.9,639.9,607.4,619.05,618.85
JUBLINGREA,2021-07-28,621.8,621.95,586.05,599.5,600.05
