COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
JUNIORBEES,2021-07-01,406.95,406.98,402.3,403.5,403.25
JUNIORBEES,2021-07-02,407.25,407.25,402.51,404.4,403.63
JUNIORBEES,2021-07-05,409.45,409.45,403.0,405.47,405.01
JUNIORBEES,2021-07-06,407.0,409.44,403.64,406.5,405.86
JUNIORBEES,2021-07-07,408.0,408.0,396.05,407.0,406.72
JUNIORBEES,2021-07-08,408.95,431.1,404.05,407.25,406.55
JUNIORBEES,2021-07-09,409.25,409.39,401.05,408.0,408.04
JUNIORBEES,2021-07-12,419.79,419.79,406.05,408.35,408.46
JUNIORBEES,2021-07-13,415.95,415.99,405.8,407.4,407.09
JUNIORBEES,2021-07-14,370.5,409.9,370.5,406.54,407.01
JUNIORBEES,2021-07-15,400.44,410.82,400.44,408.49,408.4
JUNIORBEES,2021-07-16,410.87,411.45,394.2,410.8,409.76
JUNIORBEES,2021-07-19,471.2,471.2,404.0,408.3,408.03
JUNIORBEES,2021-07-20,414.0,414.0,402.5,404.95,405.31
JUNIORBEES,2021-07-20,414.0,414.0,402.5,404.95,405.31
JUNIORBEES,2021-07-22,409.95,410.76,402.05,409.0,409.74
JUNIORBEES,2021-07-23,411.7,411.99,408.05,409.95,410.01
JUNIORBEES,2021-07-26,414.0,414.0,403.0,412.7,412.14
JUNIORBEES,2021-07-27,375.0,474.0,375.0,408.55,409.71
JUNIORBEES,2021-07-28,415.95,415.95,405.25,410.5,411.14
