COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
KIRLFER,2021-07-01,284.0,288.0,277.0,285.0,281.7
KIRLFER,2021-07-02,283.3,288.4,275.65,287.65,286.8
KIRLFER,2021-07-05,290.0,299.0,288.2,289.9,289.2
KIRLFER,2021-07-06,294.6,295.7,275.9,278.85,278.45
KIRLFER,2021-07-07,280.0,283.4,268.15,273.8,272.7
KIRLFER,2021-07-08,276.85,277.05,263.2,266.7,265.85
KIRLFER,2021-07-09,266.15,278.45,266.15,274.75,274.7
KIRLFER,2021-07-12,276.9,287.4,275.0,283.5,283.5
KIRLFER,2021-07-13,286.0,290.0,283.0,285.15,285.1
KIRLFER,2021-07-14,287.2,287.85,284.5,286.0,285.9
KIRLFER,2021-07-15,284.9,293.25,284.4,290.7,290.45
KIRLFER,2021-07-16,291.9,293.6,284.9,286.0,286.35
KIRLFER,2021-07-19,286.0,294.0,286.0,289.0,290.2
KIRLFER,2021-07-20,291.6,291.6,275.75,283.45,284.2
KIRLFER,2021-07-20,291.6,291.6,275.75,283.45,284.2
KIRLFER,2021-07-22,286.4,289.9,278.8,281.9,280.5
KIRLFER,2021-07-23,283.45,286.75,275.0,276.0,276.05
KIRLFER,2021-07-26,278.2,302.4,278.2,294.4,293.6
KIRLFER,2021-07-27,300.1,306.2,290.45,297.0,296.55
KIRLFER,2021-07-28,293.0,293.15,275.6,289.0,286.35
