COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
KKCL,2021-07-01,894.95,894.95,885.15,885.15,886.25
KKCL,2021-07-02,895.0,896.6,878.5,891.25,884.85
KKCL,2021-07-05,899.95,899.95,875.1,882.0,882.75
KKCL,2021-07-06,894.35,901.9,877.1,880.0,887.05
KKCL,2021-07-07,895.0,895.0,880.0,889.95,882.9
KKCL,2021-07-08,883.05,899.0,874.25,899.0,893.75
KKCL,2021-07-09,898.9,923.3,883.95,893.0,895.7
KKCL,2021-07-12,897.0,930.65,896.95,924.0,925.85
KKCL,2021-07-13,931.0,950.05,914.05,946.0,934.45
KKCL,2021-07-14,945.95,950.05,920.65,949.85,945.4
KKCL,2021-07-15,960.4,960.4,923.05,930.0,931.45
KKCL,2021-07-16,938.0,945.0,920.0,920.0,922.15
KKCL,2021-07-19,933.0,946.9,915.0,918.0,921.2
KKCL,2021-07-20,935.0,935.0,871.6,894.0,894.9
KKCL,2021-07-20,935.0,935.0,871.6,894.0,894.9
KKCL,2021-07-22,899.9,925.0,877.0,920.0,917.35
KKCL,2021-07-23,928.9,928.9,895.1,920.0,908.9
KKCL,2021-07-26,924.95,924.95,900.0,912.0,907.2
KKCL,2021-07-27,902.05,923.0,902.05,912.0,912.85
KKCL,2021-07-28,919.95,922.8,902.45,910.0,914.5
