COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
KOTAKBANK,2021-07-01,1709.9,1725.2,1706.15,1718.1,1716.1
KOTAKBANK,2021-07-02,1727.0,1728.0,1710.0,1716.2,1715.15
KOTAKBANK,2021-07-05,1727.0,1739.8,1721.5,1731.25,1731.1
KOTAKBANK,2021-07-06,1729.0,1760.0,1727.0,1755.0,1755.35
KOTAKBANK,2021-07-07,1756.0,1768.5,1743.15,1760.0,1761.8
KOTAKBANK,2021-07-08,1758.0,1763.0,1725.0,1732.7,1732.3
KOTAKBANK,2021-07-09,1729.0,1730.0,1714.95,1722.0,1720.05
KOTAKBANK,2021-07-12,1732.0,1743.0,1725.15,1730.0,1731.95
KOTAKBANK,2021-07-13,1743.0,1752.5,1723.6,1744.0,1747.15
KOTAKBANK,2021-07-14,1740.0,1757.95,1735.6,1744.6,1748.15
KOTAKBANK,2021-07-15,1757.0,1757.0,1740.0,1754.7,1750.05
KOTAKBANK,2021-07-16,1755.5,1762.0,1740.0,1747.15,1749.5
KOTAKBANK,2021-07-19,1733.9,1740.0,1712.0,1724.0,1722.8
KOTAKBANK,2021-07-20,1722.8,1723.8,1696.0,1700.85,1702.65
KOTAKBANK,2021-07-20,1722.8,1723.8,1696.0,1700.85,1702.65
KOTAKBANK,2021-07-22,1706.55,1721.95,1703.15,1708.0,1707.2
KOTAKBANK,2021-07-23,1710.0,1727.3,1694.15,1717.5,1722.95
KOTAKBANK,2021-07-26,1711.6,1750.0,1673.35,1739.65,1740.6
KOTAKBANK,2021-07-27,1752.0,1753.0,1693.85,1700.15,1697.95
KOTAKBANK,2021-07-28,1705.0,1705.8,1646.0,1654.0,1652.85
