COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
KOTAKPSUBK,2021-07-01,248.1,249.0,245.2,246.98,245.9
KOTAKPSUBK,2021-07-02,245.27,249.0,245.27,246.75,247.55
KOTAKPSUBK,2021-07-05,249.89,251.9,246.1,250.0,249.91
KOTAKPSUBK,2021-07-06,248.9,250.97,246.2,246.7,246.86
KOTAKPSUBK,2021-07-07,246.15,247.5,245.03,246.49,246.51
KOTAKPSUBK,2021-07-08,248.0,248.0,240.2,242.0,241.91
KOTAKPSUBK,2021-07-09,243.0,243.0,240.0,242.29,241.73
KOTAKPSUBK,2021-07-12,242.29,244.97,242.1,243.05,243.01
KOTAKPSUBK,2021-07-13,244.0,245.5,243.08,243.75,243.68
KOTAKPSUBK,2021-07-14,242.9,244.98,242.05,243.05,242.59
KOTAKPSUBK,2021-07-15,243.9,244.45,242.09,243.0,242.96
KOTAKPSUBK,2021-07-16,242.99,243.0,240.0,241.18,241.42
KOTAKPSUBK,2021-07-19,241.9,241.9,237.15,240.88,240.43
KOTAKPSUBK,2021-07-20,239.0,239.99,232.1,232.22,233.71
KOTAKPSUBK,2021-07-20,239.0,239.99,232.1,232.22,233.71
KOTAKPSUBK,2021-07-22,243.1,252.22,235.99,236.3,236.29
KOTAKPSUBK,2021-07-23,236.27,238.99,234.89,238.99,238.01
KOTAKPSUBK,2021-07-26,239.99,240.0,236.05,236.2,236.48
KOTAKPSUBK,2021-07-27,237.0,239.8,235.0,236.1,236.92
KOTAKPSUBK,2021-07-28,235.2,237.0,230.2,232.0,232.55
