COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
KOTARISUG,2021-07-01,41.4,41.45,40.0,41.1,40.95
KOTARISUG,2021-07-02,41.3,42.25,40.65,41.15,41.05
KOTARISUG,2021-07-05,41.6,41.7,40.8,40.95,40.9
KOTARISUG,2021-07-06,41.25,41.25,39.0,39.0,39.25
KOTARISUG,2021-07-07,38.7,39.8,38.15,39.25,39.4
KOTARISUG,2021-07-08,39.35,40.8,39.0,39.95,39.7
KOTARISUG,2021-07-09,40.0,40.6,38.8,40.0,39.85
KOTARISUG,2021-07-12,40.2,40.7,39.5,39.65,39.7
KOTARISUG,2021-07-13,40.05,40.15,35.9,38.85,38.85
KOTARISUG,2021-07-14,38.95,39.1,38.55,38.55,38.65
KOTARISUG,2021-07-15,38.9,39.4,36.85,37.75,37.35
KOTARISUG,2021-07-16,37.0,38.0,36.95,38.0,37.65
KOTARISUG,2021-07-19,37.0,40.95,37.0,39.75,39.7
KOTARISUG,2021-07-20,39.7,40.95,38.7,39.5,39.65
KOTARISUG,2021-07-20,39.7,40.95,38.7,39.5,39.65
KOTARISUG,2021-07-22,40.2,40.65,39.25,39.25,39.45
KOTARISUG,2021-07-23,40.2,40.2,38.0,39.0,38.95
KOTARISUG,2021-07-26,37.15,39.4,37.15,38.4,38.3
KOTARISUG,2021-07-27,39.4,40.2,38.55,38.95,38.8
KOTARISUG,2021-07-28,38.9,38.9,37.7,38.3,38.05
