COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
KOTHARIPRO,2021-07-01,117.7,126.0,116.5,119.55,120.15
KOTHARIPRO,2021-07-02,118.0,120.05,112.0,112.7,112.85
KOTHARIPRO,2021-07-05,109.0,111.95,105.55,107.25,107.3
KOTHARIPRO,2021-07-06,109.0,128.75,108.05,128.75,128.75
KOTHARIPRO,2021-07-07,130.25,137.45,116.0,121.9,120.55
KOTHARIPRO,2021-07-08,124.0,126.8,120.6,122.4,122.75
KOTHARIPRO,2021-07-09,123.15,124.85,120.0,120.9,120.85
KOTHARIPRO,2021-07-12,124.8,124.9,118.15,119.2,119.15
KOTHARIPRO,2021-07-13,119.5,122.0,117.1,117.7,117.75
KOTHARIPRO,2021-07-14,119.1,119.5,115.0,115.25,116.05
KOTHARIPRO,2021-07-15,116.0,125.9,115.0,118.95,119.5
KOTHARIPRO,2021-07-16,119.5,121.5,117.55,118.25,118.25
KOTHARIPRO,2021-07-19,120.0,120.0,117.05,118.0,117.95
