COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
KREBSBIO,2021-07-01,117.95,117.95,112.5,115.0,113.0
KREBSBIO,2021-07-02,116.0,124.0,113.9,120.2,121.15
KREBSBIO,2021-07-05,125.9,126.0,116.3,117.5,118.65
KREBSBIO,2021-07-06,122.0,122.55,114.7,115.95,116.6
KREBSBIO,2021-07-07,116.95,119.45,115.25,116.6,116.1
KREBSBIO,2021-07-08,116.95,121.0,113.8,114.25,114.5
KREBSBIO,2021-07-09,115.85,117.55,114.85,116.95,116.5
KREBSBIO,2021-07-12,116.55,118.0,114.1,115.5,115.75
KREBSBIO,2021-07-13,116.85,117.5,114.95,115.85,115.3
KREBSBIO,2021-07-14,115.3,116.0,114.0,114.8,114.25
KREBSBIO,2021-07-15,115.8,117.0,113.4,114.0,114.45
KREBSBIO,2021-07-16,116.0,117.4,114.1,114.5,114.45
KREBSBIO,2021-07-19,114.1,116.0,112.5,116.0,115.45
KREBSBIO,2021-07-20,116.0,116.0,111.7,114.35,113.6
KREBSBIO,2021-07-20,116.0,116.0,111.7,114.35,113.6
KREBSBIO,2021-07-22,113.05,115.8,112.8,114.25,114.25
KREBSBIO,2021-07-23,115.9,117.05,114.0,115.0,114.45
KREBSBIO,2021-07-26,116.5,125.85,113.6,124.0,123.35
KREBSBIO,2021-07-27,125.9,133.9,125.0,128.55,126.6
KREBSBIO,2021-07-28,129.0,130.3,122.1,123.5,124.5
